time,admin1,tmx,pre
1901-11,Middle Shabelle,32.06,69.600006
1901-11,Mudug,32.452946,26.670588
1901-11,Nugaal,31.16,14.610001
1901-11,Sanaag,28.127779,5.766667
1901-11,Sool,29.716667,7.6
1901-11,Togdheer,28.670002,8.97
1901-11,Woqooyi Galbeed,29.36,2.2600002
1901-12,Awdal,29.650002,19.025002
1901-12,Bakool,32.862503,11.4875
1901-12,Banadir,32.255,41.985001499999996
1901-12,Bari,28.391668,3.7791665
1901-12,Bay,32.814285,54.62143
1901-12,Galgaduud,32.429413,10.841178
1901-12,Gedo,34.007145,46.964287
1901-12,Hiraan,32.918182,12.654547
1901-12,Lower Juba,33.494118,131.43529
1901-12,Lower Shabelle,32.45,62.430004
1901-12,Middle Juba,33.5,117.380005
1901-12,Middle Shabelle,32.06,21.539999
1901-12,Mudug,31.482353,10.152942
1901-12,Nugaal,29.62,3.78
1901-12,Sanaag,26.483334,1.3
1901-12,Sool,28.250002,0.45000005
1901-12,Togdheer,27.73,1.24
1901-12,Woqooyi Galbeed,28.36,4.56
1902-01,Awdal,29.2,3.95
1902-01,Bakool,33.2625,1.6125001
1902-01,Banadir,32.534998,6.1300005
1902-01,Bari,28.533335,4.045833
1902-01,Bay,33.37143,2.664286
1902-01,Galgaduud,32.52353,4.352941
1902-01,Gedo,34.850002,3.5785716
1902-01,Hiraan,33.109093,2.8090909
1902-01,Lower Juba,33.994118,2.611765
1902-01,Lower Shabelle,32.829998,2.48
1902-01,Middle Juba,34.120003,2.44
1902-01,Middle Shabelle,32.239998,9.780001
1902-01,Mudug,31.6,3.4117649
1902-01,Nugaal,29.95,2.3600001
1902-01,Sanaag,26.716667,1.4055556
1902-01,Sool,28.500002,0.5083333
1902-01,Togdheer,27.759998,1.3799999
1902-01,Woqooyi Galbeed,28.159998,1.9
1902-02,Awdal,29.075,1.575
1902-02,Bakool,34.075005,3.8125
1902-02,Banadir,33.11,2.0950001499999997
1902-02,Bari,29.637503,3.5125
1902-02,Bay,34.04286,2.1714284
1902-02,Galgaduud,33.35882,1.4352942
1902-02,Gedo,35.55714,4.2642856
1902-02,Hiraan,33.909092,1.2090908
1902-02,Lower Juba,34.435295,0.2647059
1902-02,Lower Shabelle,33.3,0.71
1902-02,Middle Juba,34.620003,0.6
1902-02,Middle Shabelle,32.92,3.4800003
1902-02,Mudug,32.535297,0.9117647
1902-02,Nugaal,30.960001,1.4300001
1902-02,Sanaag,27.744446,3.5
1902-02,Sool,29.525002,1.6166667
1902-02,Togdheer,28.550003,3.4900002
1902-02,Woqooyi Galbeed,28.630001,2.5400002
1902-03,Awdal,30.425001,0.55
1902-03,Bakool,34.850002,23.7
1902-03,Banadir,34.0100015,15.440000000000001
1902-03,Bari,31.395834,6.991667
1902-03,Bay,34.79286,16.935713
1902-03,Galgaduud,34.48824,9.570589
1902-03,Gedo,36.15,21.2
1902-03,Hiraan,34.863636,16.40909
1902-03,Lower Juba,35.152943,1.5764705
1902-03,Lower Shabelle,34.140003,10.08
1902-03,Middle Juba,35.379997,3.7400002
1902-03,Middle Shabelle,33.88,20.8
1902-03,Mudug,33.8,6.694118
1902-03,Nugaal,32.410004,5.85
1902-03,Sanaag,29.17222,8.511111
1902-03,Sool,30.800001,4.5916667
1902-03,Togdheer,29.66,5.93
1902-03,Woqooyi Galbeed,29.820002,4.41
1902-04,Awdal,30.7,1.1750001
1902-04,Bakool,33.425003,117.625
1902-04,Banadir,33.825001,67.92
1902-04,Bari,32.9375,19.920834
1902-04,Bay,33.521427,92.41428
1902-04,Galgaduud,34.664707,49.376472
1902-04,Gedo,33.99286,90.47857
1902-04,Hiraan,34.409092,78.79092
1902-04,Lower Juba,33.97059,9.764706
1902-04,Lower Shabelle,33.670002,65.14
1902-04,Middle Juba,34.120003,16.0
1902-04,Middle Shabelle,33.98,70.7
1902-04,Mudug,34.588234,26.905882
1902-04,Nugaal,33.47,25.2
1902-04,Sanaag,30.216667,31.199999
1902-04,Sool,31.583334,33.933334
1902-04,Togdheer,29.7,45.9
1902-04,Woqooyi Galbeed,29.820002,15.3
1902-05,Awdal,32.8,0.77500004
1902-05,Bakool,31.7375,85.450005
1902-05,Banadir,32.275002,114.0550025
1902-05,Bari,34.195835,21.470835
1902-05,Bay,31.87857,134.02144
1902-05,Galgaduud,33.535294,60.217648
1902-05,Gedo,32.528572,80.26428
1902-05,Hiraan,32.836365,79.48182
1902-05,Lower Juba,32.36471,234.50589
1902-05,Lower Shabelle,32.090004,144.37
1902-05,Middle Juba,32.54,202.68001
1902-05,Middle Shabelle,32.46,83.740005
1902-05,Mudug,34.041176,49.735294
1902-05,Nugaal,33.74,39.510002
1902-05,Sanaag,31.616665,35.03889
1902-05,Sool,32.325,42.850002
1902-05,Togdheer,30.390003,49.579998
1902-05,Woqooyi Galbeed,31.190002,14.81
1902-06,Awdal,37.375,0.32500002
1902-06,Bakool,31.762499,8.325001
1902-06,Banadir,31.185002,41.555002
1902-06,Bari,33.56667,3.8291667
1902-06,Bay,31.414286,29.350002
1902-06,Galgaduud,32.617645,8.111765
1902-06,Gedo,32.721428,6.7
1902-06,Hiraan,32.200005,13.427273
1902-06,Lower Juba,31.264706,81.16471
1902-06,Lower Shabelle,31.110004,55.390003
