,time,Previous (Departure) Region,index,admin1_origin,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts,conflicts_lag1,conflicts_lag2,conflicts_lag3,conflicts_lag4,conflicts_lag5,conflicts_lag6,sum_disp,population_density_origin,inv_distance,x_t,x_p,x_p_dist,Current (Arrival) Region,Displacements,Disp_log,inv_distance_2,admin1_destination,population_density_destination,gdp_mean_destination,accessibility_to_cities_mean_destination,gdp_mean_origin,accessibility_to_cities_mean_origin
2893,2016-03,Bay,1382,Bay,2016,3,0.6992598261066278,0.27881157402593043,0.5344827586206896,0.5068822431612281,0.4934615780049819,0.4919124533559681,0.4976980364072453,0.46620382595303783,0.4603748586444248,0.31384385089413147,0.46435359961044276,0.4712361364389598,0.612110038916772,0.6014691227140629,0.44017630919195466,0.5317919075144508,0.5290697674418604,0.5263157894736842,0.5235294117647059,0.5207100591715976,0.5178571428571428,0.15625,0.1875,0.16666666666666666,0.16666666666666666,0.09375,0.19791666666666666,0.375,37,0.01068314232210379,0.4483269914522412,0.3829401505090028,0.3888438943012951,0.49744923376774336,Banadir,0.0005350884233619606,0.2891603575444725,0.23947738000022875,Banadir,0.8494825111810799,0.9999999999999999,0.0,0.0020614012950123314,0.34916083247120594
2898,2016-03,Lower Shabelle,1382,Lower Shabelle,2016,3,0.6839696828606809,0.3234515734170556,0.5287356321839081,0.4772203476605129,0.444650928890974,0.4339826550277339,0.437315409214873,0.41010324398700854,0.4051965383262686,0.3651444250682605,0.39388453344201413,0.3879249379306975,0.49584517966193653,0.482239306948438,0.42325155154560956,0.5260115606936416,0.5232558139534884,0.5204678362573099,0.5176470588235293,0.514792899408284,0.5119047619047619,0.3958333333333333,0.4583333333333333,0.3020833333333333,0.4895833333333333,0.34375,0.3020833333333333,0.25,1430,0.07234325948810322,0.852509851996805,0.6474629050413089,0.43478930593981285,0.624835341347764,Banadir,0.07659790780426465,0.7560164615852827,0.7463355370761058,Banadir,0.8494825111810799,0.9999999999999999,0.0,0.01008368285818618,0.29679991262701255
2910,2016-04,Bay,1383,Bay,2016,4,0.7289300501148472,0.3423449984162716,0.5402298850574713,0.6354269898368806,0.470184023786418,0.5053055860281044,0.501074383263168,0.49399298884478626,0.5031281463966861,0.2988848102849377,0.31384385089413147,0.46435359961044276,0.5555053574005695,0.6118794139672576,0.5651566919489154,0.5375722543352601,0.5348837209302325,0.5321637426900585,0.5294117647058824,0.5266272189349113,0.5238095238095237,0.17708333333333331,0.15625,0.1875,0.16666666666666666,0.16666666666666666,0.09375,0.19791666666666666,190,0.01068314232210379,0.4483269914522412,0.3691243403661691,0.30910516447173764,0.474838758507979,Banadir,0.003183776119003665,0.4547027825878768,0.23947738000022875,Banadir,0.8494825111810799,0.9999999999999999,0.0,0.0020614012950123314,0.34916083247120594
2913,2016-04,Hiraan,1383,Hiraan,2016,4,0.6640906088598556,0.3590365078314988,0.25287356321839083,0.6422121404637807,0.5058579851607758,0.574653608938782,0.5727573585229775,0.5608938487212648,0.5331016621909019,0.3594130241437301,0.3779608173346647,0.4145765686167555,0.4702989040546691,0.48343687285670817,0.4443550818344096,0.24855491329479767,0.2441860465116279,0.23976608187134502,0.23529411764705882,0.23076923076923075,0.22619047619047616,0.125,0.10416666666666666,0.0625,0.10416666666666666,0.14583333333333331,0.125,0.15625,33,0.003791023347595467,0.5758629080195323,0.4848234130866796,0.3600052128594247,0.578675905308029,Banadir,0.0006421061080343527,0.30571996214491454,0.36961839189900614,Banadir,0.8494825111810799,0.9999999999999999,0.0,0.0007690392713638598,0.6339913238499721
2915,2016-04,Lower Shabelle,1383,Lower Shabelle,2016,4,0.7234640670898481,0.35346416848947376,0.5344827586206896,0.6215326270632564,0.4407015455989207,0.45510691862275326,0.4461704426019387,0.4340598721775286,0.44228761873609174,0.3467386979714485,0.3651444250682605,0.39388453344201413,0.4752848439515773,0.49565835987095774,0.4531251250486587,0.5317919075144508,0.5290697674418604,0.5263157894736842,0.5235294117647059,0.5207100591715976,0.5178571428571428,0.5104166666666666,0.3958333333333333,0.4583333333333333,0.3020833333333333,0.4895833333333333,0.34375,0.3020833333333333,19,0.07234325948810322,0.852509851996805,0.640301761223619,0.38827278925563924,0.6181301885425876,Banadir,0.3737860181394975,0.9065398281537554,0.7463355370761058,Banadir,0.8494825111810799,0.9999999999999999,0.0,0.01008368285818618,0.29679991262701255
2929,2016-05,Gedo,1384,Gedo,2016,5,0.6390737367238108,0.22438544262848562,0.5459770114942528,0.6559089185241889,0.6016065822503971,0.5161174484799602,0.5596784366292082,0.5597638715023027,0.6007669437728469,0.31511813233180813,0.19651492493684825,0.23385196055701868,0.513734974484038,0.592252019042003,0.6189092057187553,0.5433526011560693,0.5406976744186046,0.5380116959064327,0.5352941176470588,0.5325443786982248,0.5297619047619048,0.16666666666666666,0.125,0.09375,0.14583333333333331,0.26041666666666663,0.10416666666666666,0.07291666666666666,0,0.007746698474563848,0.19840208680625757,0.2793426627389808,0.29247937266006674,0.4239072953272508,Banadir,0.0005618428445300586,0.2935787005290027,0.0641070807593793,Banadir,0.8494825111810799,0.9999999999999999,0.0,0.00027788660004488225,0.4820113397912244
2930,2016-05,Hiraan,1384,Hiraan,2016,5,0.5309270120638012,0.32125633134517506,0.25862068965517243,0.603468240004986,0.6046953447248444,0.5180545072395708,0.5794937050536644,0.5684935417106893,0.6058185418885029,0.3848855948806623,0.3594130241437301,0.3779608173346647,0.500947750453594,0.47012170934439085,0.454250390438933,0.2543352601156069,0.25,0.24561403508771928,0.2411764705882353,0.23668639053254437,0.23214285714285712,0.19791666666666666,0.125,0.10416666666666666,0.0625,0.10416666666666666,0.14583333333333331,0.125,0,0.003791023347595467,0.5758629080195323,0.574438945329267,0.34499385177133696,0.6973360984711614,Banadir,0.0006956149503705487,0.3130295099072094,0.36961839189900614,Banadir,0.8494825111810799,0.9999999999999999,0.0,0.0007690392713638598,0.6339913238499721
2932,2016-05,Lower Shabelle,1384,Lower Shabelle,2016,5,0.6121267673270303,0.32807044892607223,0.5402298850574713,0.657421715423917,0.5841409164771852,0.4510452275382735,0.4661913187037606,0.44284898543337764,0.4682683456555112,0.3789120710307179,0.3467386979714485,0.3651444250682605,0.4810233499438865,0.47510577068668647,0.46573403092990723,0.5375722543352601,0.5348837209302325,0.5321637426900585,0.5294117647058824,0.5266272189349113,0.5238095238095237,0.41666666666666663,0.5104166666666666,0.3958333333333333,0.4583333333333333,0.3020833333333333,0.4895833333333333,0.34375,146,0.07234325948810322,0.852509851996805,0.9003904606529836,0.3584827028562058,0.8616575519039407,Banadir,0.0651737699654868,0.7406822451245576,0.7463355370761058,Banadir,0.8494825111810799,0.9999999999999999,0.0,0.01008368285818618,0.29679991262701255
2944,2016-06,Bay,1385,Bay,2016,6,0.621147671624481,0.16887121612301798,0.5517241379310345,0.5697042423183001,0.6247498903024358,0.6127665944793299,0.491078892704618,0.5099432720860229,0.5368995758327624,0.29040817361149074,0.3669923684521373,0.2988848102849377,0.403952022610117,0.5486713483922449,0.5217712300474873,0.5491329479768786,0.5465116279069767,0.5438596491228069,0.5411764705882353,0.5384615384615384,0.5357142857142857,0.17708333333333331,0.125,0.17708333333333331,0.15625,0.1875,0.16666666666666666,0.16666666666666666,113,0.01068314232210379,0.4483269914522412,0.46086304479779083,0.3372627776399538,0.6249751374441019,Banadir,0.0011771945313963134,0.36154632101059686,0.23947738000022875,Banadir,0.8494825111810799,0.9999999999999999,0.0,0.0020614012950123314,0.34916083247120594
2949,2016-06,Lower Shabelle,1385,Lower Shabelle,2016,6,0.6032974574886772,0.2889260370415471,0.5459770114942528,0.556247984854036,0.6198129208080221,0.5985635540151977,0.4623417826666598,0.4627208187567011,0.47780005226914984,0.3516901126860822,0.3789120710307179,0.3467386979714485,0.45334944425528273,0.4808421145797478,0.44642226100570154,0.5433526011560693,0.5406976744186046,0.5380116959064327,0.5352941176470588,0.5325443786982248,0.5297619047619048,0.40625,0.41666666666666663,0.5104166666666666,0.3958333333333333,0.4583333333333333,0.3020833333333333,0.4895833333333333,42,0.07234325948810322,0.852509851996805,0.9650720411398365,0.4105560362352957,0.922220485966696,Banadir,0.025443454530861227,0.651407620823865,0.7463355370761058,Banadir,0.8494825111810799,0.9999999999999999,0.0,0.01008368285818618,0.29679991262701255
