admin1,year,population_density
Hiraan,2003,34.89883502114628
Middle_Juba,2003,43.975548939118084
Lower_Juba,2003,93.75222739287928
Mudug,2003,53.44456349373327
Nugaal,2003,14.677584726650034
Sanaag,2003,16.7628699473128
Middle_Shabelle,2003,121.89942401774687
Lower_Shabelle,2003,400.5548341656898
Sool,2003,16.082009653496804
Togdheer,2003,42.527526263116506
Woqooyi_Galbeed,2003,71.84503368116215
Awdal,2004,105.16585064512292
Bakool,2004,76.8548606328464
Banadir,2004,4668.239026389268
Bari,2004,46.27614346136495
Bay,2004,73.5902765095058
Galgaduud,2004,37.03821843452088
Gedo,2004,57.50565407068882
Hiraan,2004,35.83837154927283
Middle_Juba,2004,45.15949800831425
Lower_Juba,2004,96.27625715381305
Mudug,2004,54.88347603170593
Nugaal,2004,15.072731950965316
Sanaag,2004,17.214178304165017
Middle_Shabelle,2004,125.18117204455531
Lower_Shabelle,2004,411.33883929939697
Sool,2004,16.514986799925854
Togdheer,2004,43.67246493975084
Woqooyi_Galbeed,2004,73.77925358137372
Awdal,2005,107.92284512083687
Bakool,2005,78.86966373161704
Banadir,2005,4790.624626776009
Bari,2005,47.489370951531875
Bay,2005,75.51959105827328
Galgaduud,2005,38.00924054684021
Gedo,2005,59.01323200903544
Hiraan,2005,36.77790807739937
Middle_Juba,2005,46.343447077510405
Lower_Juba,2005,98.80028691474682
Mudug,2005,56.32238856967861
Nugaal,2005,15.4678791752806
Sanaag,2005,17.665486661017226
Middle_Shabelle,2005,128.46292007136373
Lower_Shabelle,2005,422.12284443310426
Sool,2005,16.947963946354903
Togdheer,2005,44.817403616385185
Woqooyi_Galbeed,2005,75.71347348158532
Awdal,2006,110.764742320408
Bakool,2006,80.94662690736037
Banadir,2006,4916.773923295714
Bari,2006,48.739870239151664
Bay,2006,77.50824205965881
Galgaduud,2006,39.01013348504777
Gedo,2006,60.56722949718411
Hiraan,2006,37.74639177628337
Middle_Juba,2006,47.56376177946696
Lower_Juba,2006,101.40190065801224
Mudug,2006,57.80543386988444
Nugaal,2006,15.875197398891935
Sanaag,2006,18.13064449595138
Middle_Shabelle,2006,131.84575349685326
Lower_Shabelle,2006,433.2382304906658
Sool,2006,17.394270978929853
Togdheer,2006,45.997538056469054
Woqooyi_Galbeed,2006,77.7071940014241
Awdal,2007,113.60663951997914
Bakool,2007,83.0235900831037
Banadir,2007,5042.923219815419
Bari,2007,49.99036952677145
Bay,2007,79.49689306104435
Galgaduud,2007,40.01102642325532
Gedo,2007,62.121226985332775
Hiraan,2007,38.71487547516737
Middle_Juba,2007,48.78407648142351
Lower_Juba,2007,104.00351440127766
Mudug,2007,59.28847917009027
Nugaal,2007,16.28251562250327
Sanaag,2007,18.595802330885533
Middle_Shabelle,2007,135.2285869223428
Lower_Shabelle,2007,444.3536165482273
Sool,2007,17.840578011504803
Togdheer,2007,47.17767249655292
Woqooyi_Galbeed,2007,79.70091452126287
Awdal,2008,116.44853671955028
Bakool,2008,85.10055325884703
Banadir,2008,5169.0725163351235
Bari,2008,51.24086881439124
Bay,2008,81.48554406242988
Galgaduud,2008,41.01191936146288
Gedo,2008,63.67522447348144
Hiraan,2008,39.68335917405137
Middle_Juba,2008,50.004391183380065
Lower_Juba,2008,106.60512814454307
Mudug,2008,60.7715244702961
Nugaal,2008,16.689833846114603
Sanaag,2008,19.060960165819687
Middle_Shabelle,2008,138.61142034783234
Lower_Shabelle,2008,455.46900260578883
Sool,2008,18.286885044079753
Togdheer,2008,48.35780693663679
Woqooyi_Galbeed,2008,81.69463504110165
Awdal,2009,119.29043391912141
Bakool,2009,87.17751643459036
Banadir,2009,5295.221812854828
Bari,2009,52.49136810201103
Bay,2009,83.47419506381542
Galgaduud,2009,42.012812299670436
Gedo,2009,65.2292219616301
Hiraan,2009,40.65184287293537
Middle_Juba,2009,51.22470588533662
Lower_Juba,2009,109.20674188780849
Mudug,2009,62.25456977050193
Nugaal,2009,17.097152069725936
Sanaag,2009,19.52611800075384
Middle_Shabelle,2009,141.99425377332187
Lower_Shabelle,2009,466.58438866335035
Sool,2009,18.733192076654703
Togdheer,2009,49.53794137672066
Woqooyi_Galbeed,2009,83.68835556094042
Awdal,2010,122.13233111869252
Bakool,2010,89.2544796103337
Banadir,2010,5421.371109374534
Bari,2010,53.74186738963083
Bay,2010,85.46284606520092
Galgaduud,2010,43.013705237877986
Gedo,2010,66.78321944977877
Hiraan,2010,41.62032657181936
Middle_Juba,2010,52.44502058729317
Lower_Juba,2010,111.80835563107391
Mudug,2010,63.73761507070775
Nugaal,2010,17.504470293337274
Sanaag,2010,19.991275835687986
Middle_Shabelle,2010,145.37708719881138
Lower_Shabelle,2010,477.699774720912
Sool,2010,19.179499109229653
Togdheer,2010,50.71807581680452
Woqooyi_Galbeed,2010,85.68207608077921
Awdal,2011,125.2052284379124
Bakool,2011,91.50009119603983
Banadir,2011,5557.774240365125
Bari,2011,55.09401972257565
Bay,2011,87.61309303772182
Galgaduud,2011,44.095949226683715
Gedo,2011,68.46351729242399
Hiraan,2011,42.66745147641557
Middle_Juba,2011,53.76457714521164
Lower_Juba,2011,114.62155412800948
Mudug,2011,65.34126157023276
Nugaal,2011,17.94487819848373
Sanaag,2011,20.494269809671447
Middle_Shabelle,2011,149.03476047323807
Lower_Shabelle,2011,489.71875518876715
Sool,2011,19.662038368462845
Togdheer,2011,51.994151295293264
Woqooyi_Galbeed,2011,87.83786596736326
Awdal,2012,128.27812575713227
Bakool,2012,93.74570278174596
Banadir,2012,5694.177371355715
Bari,2012,56.44617205552047
Bay,2012,89.76334001024273
Galgaduud,2012,45.17819321548944
Gedo,2012,70.1438151350692
Hiraan,2012,43.71457638101178
Middle_Juba,2012,55.08413370313011
Lower_Juba,2012,117.43475262494505
Mudug,2012,66.94490806975777
Nugaal,2012,18.385286103630182
Sanaag,2012,20.99726378365491
Middle_Shabelle,2012,152.69243374766475
Lower_Shabelle,2012,501.7377356566223
Sool,2012,20.144577627696037
Togdheer,2012,53.27022677378201
Woqooyi_Galbeed,2012,89.9936558539473
Awdal,2013,131.35102307635216
Bakool,2013,95.99131436745209
Banadir,2013,5830.580502346305
Bari,2013,57.79832438846529
Bay,2013,91.91358698276363
Galgaduud,2013,46.26043720429517
Gedo,2013,71.82411297771442
Hiraan,2013,44.76170128560799
Middle_Juba,2013,56.403690261048574
Lower_Juba,2013,120.24795112188062
Mudug,2013,68.54855456928279
Nugaal,2013,18.825694008776637
Sanaag,2013,21.50025775763837
Middle_Shabelle,2013,156.35010702209144
Lower_Shabelle,2013,513.7567161244774
Sool,2013,20.62711688692923
Togdheer,2013,54.54630225227075
Woqooyi_Galbeed,2013,92.14944574053135
Awdal,2014,134.42392039557205
Bakool,2014,98.23692595315822
Banadir,2014,5966.983633336896
Bari,2014,59.15047672141011
Bay,2014,94.06383395528454
Galgaduud,2014,47.3426811931009
Gedo,2014,73.50441082035964
Hiraan,2014,45.8088261902042
Middle_Juba,2014,57.72324681896704
Lower_Juba,2014,123.06114961881619
Mudug,2014,70.1522010688078
Nugaal,2014,19.26610191392309
Sanaag,2014,22.00325173162183
Middle_Shabelle,2014,160.00778029651812
Lower_Shabelle,2014,525.7756965923326
Sool,2014,21.109656146162422
Togdheer,2014,55.82237773075949
Woqooyi_Galbeed,2014,94.3052356271154
Awdal,2015,137.49681771479192
Bakool,2015,100.48253753886435
Banadir,2015,6103.386764327485
Bari,2015,60.50262905435491
Bay,2015,96.21408092780541
Galgaduud,2015,48.424925181906644
Gedo,2015,75.18470866300488
Hiraan,2015,46.85595109480042
Middle_Juba,2015,59.04280337688551
