index,time,admin1,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts,Awdal_x,Bakool_x,Banadir_x,Bari_x,Bay_x,Galgaduud_x,Gedo_x,Hiraan_x,Lower_Juba_x,Lower_Shabelle_x,Middle_Juba_x,Middle_Shabelle_x,Mudug_x,Nugaal_x,Sanaag_x,Sool_x,Togdheer_x,Woqooyi_Galbeed_x,April,August,December,February,January,July,June,March,May,November,October,September,month_name,yr_mth,Awdal_y,Bakool_y,Banadir_y,Bari_y,Bay_y,Galgaduud_y,Gedo_y,Hiraan_y,Lower_Juba_y,Lower_Shabelle_y,Middle_Juba_y,Middle_Shabelle_y,Mudug_y,Nugaal_y,Sanaag_y,Sool_y,Togdheer_y,Woqooyi_Galbeed_y,sum_disp,population_density,conflicts_log,conflicts_pro_capite,spei
1390,2016-11,Sool,2016,11,0.6368390220640887,0.41960436935780476,0.29310344827586204,0.5961160754979277,0.5584932021197158,0.39827809135324893,0.4075934569902927,0.5746577698959062,0.5714245925307628,0.4252410876551434,0.421951686047665,0.41764329999568955,0.3838612141558381,0.3812240120957377,0.40209321648563723,0.2890173410404624,0.28488372093023256,0.2807017543859649,0.27647058823529413,0.27218934911242604,0.26785714285714285,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,November,2016-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,223,0,0,0.0021432580925002977,0.00026331308243773485,2.197224577336219,316.4800341929042,-0.33638382
1390,2016-11,Togdheer,2016,11,0.6812159383493799,0.34429354595559897,0.29885057471264365,0.663032385195502,0.6144429140165288,0.43293034456089385,0.4385876932531079,0.5774022884207585,0.5896083370002164,0.36432118412363235,0.3618563295433671,0.38786469956776615,0.44206902094043987,0.4208998833669087,0.4459938661626163,0.29479768786127164,0.29069767441860467,0.28654970760233917,0.2823529411764706,0.2781065088757396,0.2738095238095238,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,November,2016-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0.0005017945534028475,0.005221229075676546,1.9459101490553132,11.970361593817161,-0.03887689
1390,2016-11,Woqooyi_Galbeed,2016,11,0.699291513509527,0.26635935979414943,0.3160919540229885,0.6829090074831076,0.6223470545707203,0.4416671337336566,0.44508043618497484,0.5755702989738865,0.585506828379996,0.32814424453324936,0.3691418252972315,0.4441684683282756,0.6083859814079313,0.5424680626629703,0.5994144003960313,0.31213872832369943,0.3081395348837209,0.30409356725146197,0.3,0.2958579881656805,0.29166666666666663,0.020833333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,November,2016-11,0,0,31,5,0,30,0,16,10,0,0,0,18,24,12,13,34,0,0.0016414635390974504,0.010717620187730306,1.0986122886681096,1.9438394875369485,-0.32844785
1391,2016-12,Awdal,2016,12,0.6558189607711873,0.20986766233783874,0.5862068965517241,0.6062122546403995,0.6277861908625422,0.5883905940668592,0.433398097472916,0.43665137976961044,0.5675041192371029,0.24824534027242326,0.32087500633753796,0.38848395472021696,0.4827185584684137,0.6764875191524662,0.5974417517301516,0.5838150289017341,0.5813953488372093,0.5789473684210527,0.5764705882352941,0.57396449704142,0.5714285714285714,0.05208333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,December,2016-12,0,0,23,0,0,0,0,13,0,0,0,0,6,0,0,0,353,0,0.0033594720100699116,0.016447657558127382,1.791759469228055,3.166610999120484,-1.4359578
1391,2016-12,Bakool,2016,12,0.48714742497316266,0.3825923835173486,0.5862068965517241,0.4838484852721032,0.5167369497681347,0.4722878829147624,0.40735254983701785,0.406816087996771,0.4951698185732134,0.3407741891537185,0.3379921027193349,0.36308490708746644,0.3650019115020687,0.42956480230733546,0.26140208626280037,0.5838150289017341,0.5813953488372093,0.5789473684210527,0.5764705882352941,0.57396449704142,0.5714285714285714,0.07291666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,December,2016-12,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036146217829866136,0.011279165372572578,2.0794415416798357,6.464721835179162,0.13418281
1391,2016-12,Banadir,2016,12,0.4409973570637613,0.39875238745807434,0.13218390804597702,0.43925992366432354,0.4631357951472036,0.42990575184414936,0.3781380731078335,0.36640225690774053,0.4510938099760815,0.3940660632801976,0.39605736555930293,0.3936353257116153,0.39932262562503407,0.4182863311551369,0.37427319923988256,0.12716763005780346,0.12209302325581395,0.11695906432748537,0.11176470588235293,0.10650887573964497,0.10119047619047619,0.53125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,December,2016-12,0,150,59,0,261,54,0,0,0,156,0,0,65,0,0,0,0,0,0.006336219360764769,0.849494701352818,3.951243718581427,0.6253717641251745,0.19696168000000003
1391,2016-12,Bari,2016,12,0.5842871321840084,0.3720150536293737,0.022988505747126436,0.4343827025403754,0.342683066543353,0.33011785299695123,0.22397034818289463,0.22209421551873004,0.47855052832062783,0.43511699111477464,0.4318917797001375,0.4364997558699692,0.43240644972871634,0.3754928461181115,0.38194054385060827,0.017341040462427744,0.011627906976744186,0.005847953216374269,0.0,0.0,0.1607142857142857,0.21875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,December,2016-12,0,6,35,144,11,0,0,5,0,0,0,0,0,0,10,30,0,0,0.0020497031757641736,0.005696566389636422,3.0910424533583156,38.40032486902369,-1.5222607
1391,2016-12,Bay,2016,12,0.5419122575600268,0.4010841625292358,0.5862068965517241,0.5367488009250446,0.5520879013460513,0.5076339218503338,0.4578530654452226,0.45621741742133903,0.5427764416632188,0.3544777665371596,0.3791232132702393,0.3789285882294981,0.38413265985940437,0.4535812139126085,0.24344791595147813,0.5838150289017341,0.5813953488372093,0.5789473684210527,0.5764705882352941,0.57396449704142,0.5714285714285714,0.17708333333333331,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,December,2016-12,0,253,0,0,1470,0,48,0,0,0,5,0,0,0,0,0,0,0,0.015104866556668766,0.010683142322103788,2.8903717578961645,16.57595939417018,0.05019314
1391,2016-12,Galgaduud,2016,12,0.3929276135730999,0.3948263098601268,0.13218390804597702,0.37777392713706015,0.4007209189477519,0.3812404500497329,0.30805542817010667,0.31287555001156414,0.4321942031896766,0.40639507281379594,0.4065137918027011,0.40255696779084443,0.40557341313300876,0.41064153972165046,0.4012548681591399,0.12716763005780346,0.12209302325581395,0.11695906432748537,0.11176470588235293,0.10650887573964497,0.10119047619047619,0.03125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,December,2016-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.004010096349500605,1.3862943611198906,7.792830215636016,0.31147754
1391,2016-12,Gedo,2016,12,0.5511550415832653,0.42445565287153103,0.5862068965517241,0.5429100711573058,0.562190103435001,0.5209665172925636,0.4828429515736191,0.48708152092643103,0.5539425369925464,0.3181324460952357,0.31357745244292395,0.32315072652122595,0.31968588159455774,0.4386296980797479,0.20242367884764959,0.5838150289017341,0.5813953488372093,0.5789473684210527,0.5764705882352941,0.57396449704142,0.5714285714285714,0.0625,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,December,2016-12,0,88,0,0,28,0,528,0,0,0,0,0,0,0,0,0,0,0,0.005477215125278539,0.007746698474563846,1.9459101490553132,8.067953103534066,0.52919114
