,time,Previous (Departure) Region,Banadir,level_0,index,admin1,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts,yr_mth,sum_disp,population_density,inv_distance,log_disp_ban,x,x_dist,inv_distance_2,gdp_mean,accessibility_to_cities_mean,shapeName,gdp_pp_destination,Disp_log
20,2022-02,Bay,30236,1318,1453,Bay,2022,2,0.8269768575861316,0.16361145861243973,0.25287356321839083,0.8596285758017732,0.6845931140579162,0.7212056013838783,0.5997828256340357,0.6111040096319408,0.8256919981487111,0.5378408213053516,0.3704619564424831,0.32026990355021806,0.2602763630808574,0.0,0.048453079626130297,0.24855491329479767,0.23976608187134502,0.23976608187134502,0.23529411764705882,0.23076923076923075,0.22619047619047616,0.2906976744186046,2022-02,0.03570395822347718,0.10053790455849915,0.34990182636372524,10.316788546412067,0.3309138543701417,0.5744281971156403,0.20657670899278555,0.1879583329237419,0.16147689760690798,Bay,0.690152857978403,0.9678937040109536
21,2022-02,Galgaduud,18,1319,1453,Galgaduud,2022,2,0.555745338582102,0.39925441880981105,0.040229885057471264,0.4143482871422016,0.14199741996467208,0.16791956554308873,0.06897403520848489,0.2722970673639913,0.46653294273259716,0.3929517960212982,0.21077957902597133,0.21602905175519188,0.3061600341383532,0.30199767259434973,0.307197305686488,0.03468208092485549,0.023391812865497075,0.023391812865497075,0.01764705882352941,0.011834319526627219,0.005952380952380952,0.09302325581395349,2022-02,0.006217149466736975,0.0031949352673421444,0.17775360482559616,2.8903717578961645,0.03413620947240929,0.07066316471898298,0.08566252913034295,0.0,0.5045525450071277,Galgaduud,0.5454441950719514,0.16301304412498333
23,2022-02,Hiraan,143,1321,1453,Hiraan,2022,2,0.627685316252721,0.3630672800027377,0.040229885057471264,0.5331519779302968,0.3000506388700651,0.29633924716845417,0.20481998926344036,0.3187785661365611,0.5371807570715865,0.4179147907264681,0.24123138027133545,0.23531179465280683,0.2972754671850986,0.25178170523598037,0.26662464029743405,0.03468208092485549,0.023391812865497075,0.023391812865497075,0.01764705882352941,0.011834319526627219,0.005952380952380952,0.12790697674418605,2022-02,0.001683988501250234,0.0,0.5017432022319003,4.962844630259907,0.2288273139882246,0.31025272781105584,0.34422458867737493,0.05714120766014577,0.5885775562002598,Hiraan,1.0,0.3876292191400209
24,2022-02,Lower Juba,5,1322,1453,Lower Juba,2022,2,0.8178114759815392,0.4055429890905945,0.9425287356321839,0.9457511213048801,0.8871853489967418,1.0,0.8452738709864311,0.8203428465670592,0.9739063563020871,0.5739118257282836,0.40623106425912664,0.6177949919868484,0.44557761410533286,0.309754436368823,0.235241431309946,0.9421965317919074,0.9415204678362572,0.9415204678362572,0.9411764705882353,0.9408284023668639,0.9404761904761905,0.3837209302325581,2022-02,0.025251322526322954,0.16095237386298109,0.015152044201296566,1.6094379124341003,0.09181601699965349,0.3412538347198837,0.00574966922777842,0.039153384255340457,0.38841259897393965,Lower Juba,0.0,0.02418446660693982
25,2022-02,Lower Shabelle,22163,1323,1453,Lower Shabelle,2022,2,0.7171524299458921,0.32802366757588175,0.24137931034482757,0.7282007136364637,0.5593399917224429,0.6370197156393446,0.5115676664485245,0.5359613033430448,0.7638666935590421,0.39839218300533574,0.2526819234793003,0.23273738148980802,0.256048911495261,0.19603909413039766,0.2108128876585403,0.23699421965317918,0.22807017543859648,0.22807017543859648,0.22352941176470587,0.21893491124260356,0.21428571428571427,0.5930232558139534,2022-02,0.008981272006667915,1.0,0.8311127926489761,10.006179510759674,0.8455565668738788,0.8416691893380794,0.7426717462482046,0.9999999999999999,0.08296218788690846,Lower Shabelle,0.21968073428723167,0.9342296621584893
26,2022-02,Middle Juba,1140,1324,1453,Middle Juba,2022,2,0.8436898180351611,0.26665567293026343,0.9425287356321839,0.9097331799670275,0.8048515397501023,0.9205795512541236,0.7779170685371539,0.7637429260445887,0.9440685557533366,0.4571138876727152,0.3251171334187436,0.34280478715058915,0.3175331757573851,0.18006674593019958,0.17004843540273012,0.9421965317919074,0.9415204678362572,0.9415204678362572,0.9411764705882353,0.9408284023668639,0.9404761904761905,0.0,2022-02,0.01154977972069605,0.02482285325190081,0.11662879723169128,7.038783541388541,0.1527207666679652,0.4195996204095185,0.05171362926829642,0.08986204560408767,0.5960955040559042,Middle Juba,0.8777920354446896,0.612621046053911
27,2022-02,Middle Shabelle,413,1325,1453,Middle Shabelle,2022,2,0.3616154815056412,0.3845387047354112,0.040229885057471264,0.30269900262732957,0.1258775598507309,0.16910957906404384,0.1252173903199991,0.20667282651868113,0.47929531611264725,0.3669288616731947,0.2091976957482399,0.20066154087049293,0.26615227067990826,0.2745587189765534,0.29162225632463834,0.03468208092485549,0.023391812865497075,0.023391812865497075,0.01764705882352941,0.011834319526627219,0.005952380952380952,0.16279069767441862,2022-02,0.011668849614723843,0.2379307952048895,0.9999999999999998,6.023447592961032,0.2826084828507722,0.22556441842319183,1.0,0.44308614018854486,0.0,Middle Shabelle,0.7292471613009842,0.5025781691930239
28,2022-02,Mudug,16,1326,1453,Mudug,2022,2,0.49084009513385746,0.38771053468082595,0.022988505747126436,0.3539471919897631,0.06813908964146234,0.1288183515786801,0.0,0.2566273626848057,0.4389684029662043,0.3459909682133572,0.19085105320677598,0.24548214967949494,0.3497458689206523,0.35619975343676213,0.35063464515552,0.017341040462427744,0.005847953216374269,0.005847953216374269,0.0,0.011834319526627219,0.005952380952380952,0.046511627906976744,2022-02,0.015912840837571655,0.050718681885182554,0.0,2.772588722239781,0.0005749085780532015,0.002258072602785044,0.0,0.06794018611938496,1.0,Mudug,0.5260861670737208,0.15024762977211778
37,2022-03,Bay,11867,1336,1454,Bay,2022,3,0.6396653700155652,0.32402504226965556,0.25862068965517243,0.8494919288405751,0.7546790084629809,0.7069455444555517,0.7212056013838783,0.5997828256340357,0.8107731742678536,0.1558450887664472,0.3918635346847088,0.3948024439243707,0.4164397000766092,0.26253623456225367,0.0,0.2543352601156069,0.24561403508771928,0.24561403508771928,0.2411764705882353,0.23668639053254437,0.23214285714285712,0.16279069767441862,2022-03,0.04184456275833915,0.10053790455849915,0.34990182636372524,9.38151671766514,0.3644708881936153,0.6345575603661615,0.20657670899278555,0.1879583329237419,0.16147689760690798,Bay,0.690152857978403,0.8665282369045726
38,2022-03,Galgaduud,26,1337,1454,Galgaduud,2022,3,0.4548148305349525,0.38502861350016454,0.04597701149425287,0.5571343204587139,0.33434800520425756,0.20280282341662098,0.16791956554308873,0.06897403520848489,0.5396848263974054,0.38030246088815456,0.2626281905250958,0.1973758275664505,0.30595715242425897,0.308818294464811,0.30199767259434973,0.04046242774566474,0.029239766081871343,0.029239766081871343,0.023529411764705882,0.01775147928994083,0.011904761904761904,0.11627906976744187,2022-03,0.016295565496946707,0.0031949352673421444,0.17775360482559616,3.2580965380214817,0.08354618119943893,0.1915373530220785,0.08566252913034295,0.0,0.5045525450071277,Galgaduud,0.5454441950719514,0.20286733349659244
