index,time,admin1,year,month,TA,PA,DL,TA_lag1,PA_lag1,DL_lag1,conflicts,Awdal_x,Bakool_x,Banadir_x,Bari_x,Bay_x,Galgaduud_x,Gedo_x,Hiraan_x,Lower_Juba_x,Lower_Shabelle_x,Middle_Juba_x,Middle_Shabelle_x,Mudug_x,Nugaal_x,Sanaag_x,Sool_x,Togdheer_x,Woqooyi_Galbeed_x,April,August,December,February,January,July,June,March,May,November,October,September,month_name,yr_mth,Awdal_y,Bakool_y,Banadir_y,Bari_y,Bay_y,Galgaduud_y,Gedo_y,Hiraan_y,Lower_Juba_y,Lower_Shabelle_y,Middle_Juba_y,Middle_Shabelle_y,Mudug_y,Nugaal_y,Sanaag_y,Sool_y,Togdheer_y,Woqooyi_Galbeed_y,sum_disp,population_density,conflicts_pro_capite
1381,2016-02,Gedo,2016,2,1.2599097816795624,-0.2208272199266326,92,1.413599022944032,0.2919951707217679,91.0,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,30,0,0,77,0,27,0,0,0,0,0,0,0,0,0,0,0,134,77.46471067941276,0.18072745482699748
1381,2016-02,Hiraan,2016,2,1.267826533592587,0.1601034902829003,42,1.4989887094474712,0.2568918707115642,41.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.276946533949385,0.12428292240439588
1381,2016-02,Lower_Juba,2016,2,1.480904775031313,0.0357901855770479,92,1.5593622720902367,-0.0522780123305882,91.0,15.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,129.69152282025806,0.1156590629349675
1381,2016-02,Lower_Shabelle,2016,2,0.9941466213950012,0.1262252440567089,91,1.0107327035742666,0.2021954687144373,90.0,44.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,0,0,0,0,0,0,723,0,0,0,0,0,0,0,0,723,554.1037487584094,0.07940751185782738
1381,2016-02,Middle_Juba,2016,2,1.3376529561700927,0.0191064125690568,92,1.3914840780373088,0.1419018672441366,91.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,0,44,0,100,0,24,0,300,0,0,0,0,0,0,0,468,60.833313015106384,0.08219180827383804
1381,2016-02,Middle_Shabelle,2016,2,0.7067655293922144,0.1777708796214337,13,0.8228446516836038,0.1791411636393214,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.6287721177253,0.07116223316636858
1381,2016-02,Mudug,2016,2,1.1458134727961424,0.1842036196330697,13,1.423030519982296,0.1345613388649174,12.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,94,0,11,67,0,26,0,12,0,28,497,0,0,0,0,17,752,73.93192783883698,0.05410382384075707
1381,2016-02,Nugaal,2016,2,1.6595070291352385,0.2094031514853024,13,2.09727166110983,0.113939972109944,12.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.304099475509442,0.09850227548443484
1381,2016-02,Sanaag,2016,2,2.1966339791356955,0.0585134678616315,42,2.851824565531849,0.0525589771140259,41.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.188758595928302,0.3449947510948134
1381,2016-02,Sool,2016,2,2.065412670848972,0.1348152301317519,42,2.552967664764614,0.0800894410551205,41.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,23,0,0,0,0,0,0,0,0,0,0,120,39,0,0,182,22.247009320205844,0.3595988964113932
1381,2016-02,Togdheer,2016,2,1.9594913810516383,0.0239066790166647,43,2.419044138857298,-0.0385252709742397,42.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.83001424826246,0.32296439568788926
1381,2016-02,Woqooyi_Galbeed,2016,2,1.7584827154578,-0.0171614665409156,46,2.2771660022705573,-0.2950300127133036,45.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,20,3,51,16,4,7,5,27,6,25,0,7,15,9,17,10,10,124,356,99.38626881429339,0.04024700844212328
1382,2016-03,Awdal,2016,3,1.8262466054729949,0.0165922350213814,93,1.4098154886400571,0.0030933557533274,92.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,39,0,16,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,66,141.66653044943396,0.014117660633425861
1382,2016-03,Bakool,2016,3,1.8941864752136928,-0.0468636542320154,93,1.5043576068260838,0.0046658664181495,92.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,0,1459,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1505,103.52974568893711,0.05795435852829631
1382,2016-03,Banadir,2016,3,1.3777903769751034,0.1049607971813479,14,0.8767200856223387,0.1552707253402493,13.0,33.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,0,0,0,0,21,0,0,0,0,3920,0,0,0,0,0,0,0,0,3941,6288.475824919914,0.0052476945000293875
1382,2016-03,Bari,2016,3,2.253777486200014,0.2093495320056202,24,1.9360803181756745,0.1993179604699439,23.0,16.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,0,0,35,128,0,0,0,52,0,11,0,0,0,24,63,5,0,0,318,62.337388581106616,0.256667793826213
1382,2016-03,Bay,2016,3,1.654655219552695,-0.0489223282905294,93,1.117980820270617,-0.0093803377758418,92.0,15.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,0,24,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,149,99.1318667772593,0.1513136036639328
