,time,Previous (Departure) Region,Banadir,level_0,index,admin1,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts,inv_distance,log_disp,x
80,2020-05,Lower Juba,0,944,1432,Lower Juba,2020,5,0.6311091519516575,0.0108171083730369,143,0.8700896444265447,1.2151586751301338,1.1036526085932117,1.2753155107461849,1.1400981780592945,1.3485500612103274,0.8567822486093688,0.9394422557821864,1.1133270426940525,1.326709231889707,0.7314123219048595,0.6190057261484627,142.0,141.0,140.0,139.0,138.0,137.0,16,0.0023353638652866275,-inf,6.6273835278543525e-06
81,2020-05,Lower Shabelle,14,945,1432,Lower Shabelle,2020,5,0.4098700579028002,0.1522336980148802,21,0.8339844726295664,1.1951183678890795,0.9109204970328044,0.991222377932367,0.6587868443993922,0.7391795156901699,0.1201154138652622,0.201488211122693,0.3360359196500412,0.4360472747604675,0.4627965251536148,0.2943914913680741,20.0,19.0,18.0,17.0,16.0,15.0,64,0.008508246593928818,2.6390573296152584,8.651492950548441e-05
82,2020-05,Middle Juba,0,946,1432,Middle Juba,2020,5,0.6027048691361032,0.1700823531307599,143,0.9283045422944682,1.2978791304405757,1.150025828580769,1.3081830976798208,1.0846967739218951,1.2633128657704182,0.2454425491993794,0.433866935818887,0.609358725725575,0.8071185072767121,0.8170631983999681,0.5288116150092136,142.0,141.0,140.0,139.0,138.0,137.0,7,0.0031030528715675202,-inf,1.2497196541231104e-05
83,2020-05,Middle Shabelle,0,947,1432,Middle Shabelle,2020,5,0.054107249256939,0.1191719012981683,16,0.3475239749259176,0.5744837060692436,0.3072158360700135,0.2723270029839358,0.0392024139346331,0.0030452511904917,0.1604904314189245,0.1275279286925687,0.1777708987015868,0.1791411821595466,0.1070071270260876,0.1171268113369072,15.0,14.0,13.0,12.0,11.0,10.0,18,0.009785907225679898,-inf,5.501484627025045e-05
84,2020-05,Mudug,0,948,1432,Mudug,2020,5,-0.1872679043976454,0.1254141935297253,0,-0.1586285044702363,0.1912111320622943,0.196851894583196,0.1662497263937417,0.1476666979804699,-0.1451717353774993,0.206812766290127,0.1851848641184435,0.1842036176883258,0.1345613667310362,0.0632129805140632,0.2036611554941206,0.0,4.0,3.0,2.0,1.0,0.0,13,0.002220736057353776,-inf,9.429899429281197e-07
85,2020-05,Nugaal,0,949,1432,Nugaal,2020,5,-0.1533177919110476,0.1513611822568351,0,-0.1894030675026146,0.2778375357853881,0.3364122500469239,0.3378957095723301,0.3880588172182331,-0.020303674150367,0.2327581681835263,0.2185670737517008,0.2094031618567795,0.1139399752578671,0.0455698636885864,0.2369268966034977,0.0,4.0,3.0,2.0,1.0,0.0,3,0.0016594524274810532,-inf,7.651041047340485e-07
86,2020-05,Sanaag,0,950,1432,Sanaag,2020,5,0.0257678092820105,0.1223724369518897,1,-0.0182659860979655,0.5433562498785451,0.7187136933036445,0.809018532258687,0.9634005740189236,0.4702392957452765,0.1171255351652517,0.0682805278398302,0.0585135955062028,0.052559376182004,0.0556622316736382,0.0991973368265734,0.0,14.0,13.0,12.0,11.0,10.0,0,0.0014701577646401877,-inf,1.1743905577520845e-06
87,2020-05,Sool,0,951,1432,Sool,2020,5,-0.1496864301456291,0.1334049522420888,0,-0.2067231564544865,0.3412358316841812,0.4621082058196579,0.4822723169842762,0.5957839931933231,0.0923808255141215,0.1800478135959616,0.1441526834600773,0.1348152190404009,0.0800894666180937,0.0468585684891949,0.1879169981718459,0.0,13.0,12.0,11.0,10.0,9.0,1,0.0017204192404835263,-inf,1.0100042704012197e-06
88,2020-05,Togdheer,0,952,1432,Togdheer,2020,5,-0.1196457675515779,0.1212226977615345,0,-0.167800011941951,0.3032589006851793,0.3037179643856543,0.3503132316488053,0.458652947231622,0.0010648688083401,0.121328057914301,0.0420313633796548,0.0940161056177091,0.0910377095089832,0.1446700153390121,0.1368900630468489,0.0,13.0,12.0,11.0,10.0,9.0,1,0.001820272428158295,-inf,1.0048155283368172e-06
89,2020-05,Woqooyi Galbeed,0,953,1432,Woqooyi Galbeed,2020,5,-0.025386681399515,0.1087276181821395,0,-0.0972473313249439,0.3108062933598112,0.2507172855171168,0.3388812050525032,0.4855836430569744,0.0867549138628845,0.1216976834051273,0.0477819289862703,0.2895833306962175,0.2583844335040678,0.3743042049984927,0.3090113068742174,0.0,14.0,13.0,12.0,11.0,10.0,4,0.0016107324240856426,-inf,8.063741670374893e-07
90,2020-06,Awdal,0,954,1433,Awdal,2020,6,-0.0129390731878908,0.101181478175869,0,0.0430864595556675,-0.0863536749474969,0.2590472979803884,0.1575753042259539,0.1928211683185939,0.4235243639391764,0.1066061413139926,0.1404414978040904,0.0699160744011088,0.4089263166442337,0.3657618513898316,0.4831302826094016,1.0,0.0,141.0,140.0,139.0,138.0,0,0.0014060378073769858,-inf,-1.70716234126255e-07
91,2020-06,Bakool,0,955,1433,Bakool,2020,6,0.4266000495719045,-0.0775129627507978,22,0.1256166972187069,0.4637230483444926,0.7823108373308625,0.5981257390747327,0.6476107394407322,0.3854183759890103,0.1080299201003034,-0.0818907454994354,0.2598255308795166,0.5849067547677866,1.146358566701533,1.3216027386295237,21.0,20.0,19.0,18.0,17.0,16.0,4,0.004339161252142711,-inf,8.731126118155392e-06
93,2020-06,Bari,0,957,1433,Bari,2020,6,0.8542227210102765,0.0706698813813843,21,0.6862955027206096,0.8083641021758188,1.1769781747356896,1.3720421225590158,1.8940601460743705,1.922863373929813,0.1496659710589757,0.2286141569994982,0.2093499347707191,0.19931836669239,0.1059776927120519,0.0397719283588131,20.0,19.0,18.0,17.0,16.0,15.0,5,0.00124865886735538,-inf,1.2603600548876975e-06
