ADM2_EN,Borama,Baki,Lughaye,Zeylac,Hargeysa,Berbera,Gebiley,Burco,Buuhoodle,Owdweyne,Sheikh,Laas Caanood,Caynabo,Taleex,Xudun,Ceerigaabo,Ceel Afweyn,Laasqoray,Bossaso,Bandarbeyla,Caluula,Iskushuban,Qandala,Qardho,Garoowe,Burtinle,Eyl,Gaalkacyo,Galdogob,Hobyo,Jariiban,Xarardheere,Dhuusamarreeb,Cabudwaaq,Cadaado,Ceel Buur,Ceel Dheer,Belet Weyne,Bulo Burto,Jalalaqsi,Jowhar,Adan Yabaal,Balcad,Cadale,Banadir,Marka,Afgooye,Baraawe,Kurtunwaarey,Qoryooley,Sablaale,Wanla Weyn,Baidoa,Buur Hakaba,Diinsoor,Qansax Dheere,Xudur,Ceel Barde,Tayeeglow,Waajid,Rab Dhuure,Garbahaarey,Baardheere,Belet Xaawo,Ceel Waaq,Doolow,Luuq,Bu'aale,Jilib,Saakow,Kismayo,Afmadow,Badhaadhe,Jamaame
Adan Yabaal,643.619358262927,613.7686774247221,647.4844231199311,689.6385834867865,529.712038170527,545.0002997903364,588.5509921197668,439.5228746665082,375.4296865245006,474.3429708435367,512.9349996036344,389.4484643840117,438.6830527121268,477.1927383503219,437.1185377593839,528.3157245465176,504.1129925218425,575.4568572811656,633.5953699809846,593.5533167783096,759.8648242133444,677.5395780405657,680.3822763847047,551.5328667592482,444.74249064203207,380.32157255135957,476.0466790509242,285.898052870586,275.714171600146,259.41538712002824,383.9397879054595,171.51030823950305,145.33594525601535,180.53085687053547,204.01673096361378,98.10891930445536,67.9693352849505,158.2198995748218,115.93679920471423,104.33515082879848,116.82983322545537,0.0,128.05011603194046,47.063305765763694,172.52135362378814,247.130476205757,192.72531626749424,356.3326668393984,312.1391566744911,264.85710643637196,376.9270348393227,191.4978195291427,323.9251151656146,294.2918953230561,420.9477349602347,416.09016644889454,297.7315738809051,296.6023373513239,225.33988807327177,346.76785461934736,374.6808454004015,466.3326804873097,550.2676384224454,535.1986828975175,571.3744644794225,491.1220816415976,428.29877074610954,462.09495215546315,450.4918040505217,521.2913883071654,593.2353631644739,579.3134352314178,668.9076520940863,496.3897094461116
Balcad,670.848690379661,652.1736412845646,685.5786408908959,722.3198784849575,573.9060655122327,614.8944201554964,622.7260033049932,516.5651984614005,473.1454813891404,533.8245963404629,584.7277380808118,504.39195061906366,531.9830322185945,599.0015356332194,548.2094222860381,640.4082114008936,600.4978106438475,695.2246197718224,756.8587185862201,721.4821975745406,886.6912411609918,804.8132587540875,806.1381809858403,677.6283442886177,569.7918851720631,504.83535185744125,603.9148318061424,407.2247621078778,389.4779538639627,387.2823762203134,511.82936631564456,298.9701160186614,254.24427226615265,262.0104444985324,318.66945439345056,218.63197970593603,195.78367229088593,176.40658622427267,110.7202707691267,71.30992002533638,40.54954164272742,128.05011603194046,0.0,81.77294842738043,44.59796345135308,119.97720840421884,68.1779967546787,229.64278709636653,188.30466714431773,141.37748466940533,253.38971642049276,86.9841201069564,232.86581548269623,183.72124327430708,308.12488624695794,314.5394045920251,236.62809374114113,252.57162715665626,164.23773674010806,268.98255267059017,305.6703398138128,371.4249809994823,440.5684357043922,443.1241693742291,468.8114902228428,409.5739527903233,345.3201666826374,340.4119446811352,324.3772330584844,405.7636002131646,466.3597149564306,456.81142777741604,541.946817284468,369.21362027788524
Cadale,657.4718979282703,631.5635666446809,665.3056310361859,705.6534949174796,549.2065239976937,573.9087619862153,604.6878361330232,470.52998272765575,413.59693637874915,499.1221395159806,542.393871212611,433.5326271698315,475.5395690678622,523.3439885020476,480.05615707440967,571.7092431561653,542.2564155634476,621.1313172204565,680.1364877737781,640.4078414006152,806.9278380570995,724.588275221983,727.3646344893242,598.5457618193132,491.59273523157844,427.05171414972506,522.9523838380966,331.7529828997487,319.1218284528296,306.3496884601537,430.84071299684274,217.2040362335494,185.90717453350732,210.21841185303393,247.4083434180862,142.92967204020985,114.17239323412562,159.9775458628389,102.67533167886472,76.31208194397585,77.71055594664622,47.063305765763694,81.77294842738043,0.0,125.9478877057115,201.56836803818143,148.12296131022407,311.124878767857,268.3097893397855,221.04168536312378,333.3495819013989,152.70106451335909,292.1473985832096,255.4008935462408,381.91744407398835,381.3157150115262,275.9408321937537,280.82804667244517,201.4619176347928,319.9338956650704,351.307877102448,434.2924749927034,512.8259677149235,504.52768121477834,536.8027526803261,464.16536600506095,400.4075782050406,419.478807722048,405.66668381011294,481.4159995688064,547.9660562292028,536.422830426217,623.5861832435306,450.8964913560833
Banadir,689.2703632313157,674.1956962601992,707.2697301037966,742.096551650749,598.3008767256931,646.261061602213,643.6876443255959,550.4694091272736,512.2728761211552,562.9334307570292,616.7932580150119,547.0409027511938,569.7970275970667,642.8424624837232,589.9837217945154,682.2308829031721,638.7676771441733,738.6192981232356,800.8986943562276,766.031648793447,931.2543190168205,849.4073401843544,850.5780561362145,722.1233061431018,614.1673787904346,549.1560265014053,648.4792371642191,451.14902476838677,432.19635164531337,431.84203100488594,556.3873185397766,343.0705081873243,296.9719339190986,300.184206661398,361.8001818772428,262.8765165010205,240.10580643299912,205.1841331153928,142.31927418377194,105.84500904020727,73.78003960600151,172.52135362378814,44.59796345135308,125.9478877057115,0.0,77.68877298341812,35.466191049763665,187.03195876624292,148.7108745383219,103.24554629321274,213.30880659785578,75.51712376755,214.0015192451711,154.91382031782166,274.59338269451246,287.3599335725373,232.63003885425317,255.01419726251174,166.28954679999396,255.48686403587558,294.97781532097326,346.71352027758303,407.47819294079306,418.81320345753267,439.14792234275126,390.6628043512646,326.97384517398933,301.06246025747214,281.9739610229966,369.7356715746177,423.17829598903046,416.51218090860635,498.65558564616776,325.8708639274693
Marka,697.524051707608,689.3821098163369,721.5223361629052,752.4232088445303,618.8390259037593,680.289460728273,657.167152941012,590.7368510501922,564.7378455616777,593.149646641193,652.5380482447109,608.9998892543911,618.6604500014107,708.9981214563508,649.0379256028251,741.0716177674543,688.2767348273521,802.6778725849291,867.7537163117172,839.2013282049786,1001.9869446754635,920.9602523112502,919.9624681286094,792.1518151043161,683.3298595658383,618.0672430415518,721.5273503616567,518.2554389643168,494.9845155773232,505.1652549644406,629.5929508419463,418.5402094663534,360.9858150424307,353.31541715242366,426.41770140123066,332.56026721610897,315.0883655025165,245.0485772877846,192.10068973865484,164.0200719345028,136.38343054248924,247.130476205757,119.97720840421884,201.56836803818143,77.68877298341812,0.0,55.717265983722335,109.68293522199102,72.56592606779553,33.58945206631566,136.14952695714567,85.56209521020637,170.86368803294505,98.79186376958664,204.00173505283357,225.9275706006739,214.7107066259799,246.56308946083033,167.1866756813504,218.9154271759293,261.0719660283639,287.6837149016507,336.08956513767373,359.15808212052576,371.7910312753178,339.8061282008378,278.70727285265104,224.11533772585508,204.51814081703142,295.3434674468625,346.40657785832326,338.9976742741236,422.01833381286116,249.3427205892252
Afgooye,668.2127442786261,655.8420588873772,688.5842797718178,721.9037937226739,582.0753661608566,636.4374655405791,624.5940099886066,543.7761330825132,512.7777143319123,551.0860130740933,607.8032448595969,554.2922000081367,568.103232914152,653.5600451123047,595.0816299963925,687.2286399063993,637.5457785438296,747.6073881914448,812.250958251404,783.7788198849493,946.2774104084352,865.2976222212628,864.2582221682195,736.4345503576932,627.6247447670827,562.3672664012846,666.0981614362495,462.6606592270295,440.0249417046893,449.8680154196986,574.2201472795311,364.23059107863,305.6815636941802,300.69057276311077,371.08437348238283,276.8608562843649,260.66496065784196,196.77744035660595,139.43133060896247,108.93848918774401,80.6722955858077,192.72531626749424,68.1779967546787,148.12296131022407,35.466191049763665,55.717265983722335,0.0,163.6956029850495,120.3497509736831,73.2522006980924,185.44965627087723,46.940583967924745,178.81457197375158,119.88369028584327,241.4463948947396,252.26850786903395,201.54575348995576,226.65879378790748,139.4526722825713,221.13713589523908,261.18463966780575,311.36055165449164,374.2434360081261,383.4519394537462,404.7093365090201,355.29790851870956,291.6918413470337,272.26480043237206,257.7834697253241,338.0987583920721,400.5528311656182,388.7968077482938,476.23634579078964,303.87590758782795
Baraawe,735.8027512110868,736.5733305643565,767.0063288321489,792.4348841401298,673.8649370269476,749.9378386178523,702.8285935078375,668.4617051034281,655.112589817939,659.8755087729123,724.4805191416149,707.8356454170586,704.91610312662,811.1324144890706,744.980492989299,836.310228684064,774.5305208977691,902.6404735822471,970.1261674394078,946.8556821665605,1107.588602832725,1027.3106178998082,1024.4951422922625,897.4049950113904,788.0721715742363,722.7671785012592,829.1859010927973,621.8846686619646,595.2676979618764,613.2539375162528,737.4494760145004,527.8372015042278,463.4289421758293,447.5473457784928,528.6872138475127,438.99447107458724,424.2965178160517,332.8266617819433,289.9260988167928,267.7313354268668,243.04592222153644,356.3326668393984,229.64278709636653,311.124878767857,187.03195876624292,109.68293522199102,163.6956029850495,0.0,51.89267780464187,94.48272316438249,42.086849466566065,178.73700072440454,174.9470141801394,111.92863449231635,131.9003120390803,177.46675481714811,247.14704626313548,286.21654638816557,230.63334276188476,222.74489157317018,262.37901537274445,237.15102963962516,250.91290335888442,301.77626747527626,295.88162299742135,302.0415196664065,251.96315649640945,122.65952497383309,94.9508053663986,202.30764437077434,236.90723653234846,232.41358013186795,312.5750915541266,140.22143625754322
Kurtunwaarey,692.1932770419768,690.6473281178947,721.5567627306694,748.4593425194287,626.0370258439638,699.573640884627,657.2154892419858,617.0689653798972,603.2582706917077,609.8578937257588,673.7762903948662,656.8122727239452,653.042486384269,760.8590120447909,693.4960904787443,784.7197378697952,722.6641095767621,851.755124121145,919.8529086673116,899.4779487703047,1058.6317302666096,978.8456672741555,975.025593793112,848.3497590488258,738.8263624425377,673.5518292461271,781.8851416291213,572.2962135488149,544.6482852548748,566.6254443338438,690.4240236570827,483.3654055648739,413.6439927682554,396.07237946375034,478.7231587742804,391.244419814154,379.8541608701159,281.02273771502814,239.4896659592027,219.35855108166433,196.6788382283284,312.1391566744911,188.30466714431773,268.3097893397855,148.7108745383219,72.56592606779553,120.3497509736831,51.89267780464187,0.0,47.30045657181996,65.10205831284804,128.71331903509957,136.20037251335762,65.15364998992165,134.0579733519398,164.57471226602146,201.9401242158395,239.8775048901697,179.51556469820503,185.9207397285505,227.50275149372106,226.87806541573084,264.7287685090488,296.4775143489647,302.823772060437,285.6118200982016,229.0982251657342,152.40704967478538,139.6691610428136,222.85837971734324,283.1105358632104,268.50685718961427,358.68295994353053,188.21848106514423
Qoryooley,677.0393763579464,671.4249755533211,703.1199283269066,732.5162995522918,603.2009776743303,670.1040803193744,638.6845319219676,583.833335433002,564.271572911474,581.6417521440766,643.2384892586753,614.115762559103,615.9796238517135,716.7968548082812,652.1257137652012,743.7476940256545,685.6780113772589,808.7193709789748,875.7801289937414,853.0539719177169,1013.1700232733976,933.0243895601562,930.0133258292419,802.9629654562763,693.6020489816228,628.2986115666273,735.4180025623459,527.405816750518,501.1689337955246,519.8701464006293,643.8325333419908,436.1334196747878,368.98380333503434,354.89957903028414,434.27495881316554,344.9314632963328,332.6030981594554,242.13205980022332,195.8857472183608,173.35770937801541,149.6751746691107,264.85710643637196,141.37748466940533,221.04168536312378,103.24554629321274,33.58945206631566,73.2522006980924,94.48272316438249,47.30045657181996,0.0,112.30968821294371,84.7096771006706,139.4400391582782,65.93337556859257,172.59927765107034,192.4612128451558,189.64027353291502,223.9539920062629,151.08220248397998,188.353776449008,230.69168495870773,254.13334857159018,305.2606003259995,325.6726128407507,339.4912339773723,306.41686148334395,245.65849222964232,199.0346951828991,186.32641320434936,266.5094165340306,329.67753580220256,315.5634114056393,405.3289197647141,233.98013982193612
Sablaale,712.6949805441661,716.6112150200851,746.2798927061035,769.6717887770192,657.2341714976915,739.1386118293498,682.4794350998861,662.0013784119421,655.8355396399166,648.2428873024305,714.8786833307419,714.2908327129395,702.8926944206504,820.1472270689669,749.0702762914154,839.580795741412,772.198120882725,909.4602977136079,979.0262716299507,962.3760403755915,1119.8819228912341,1040.7054566147215,1035.5986319032852,909.5695030062396,799.8629840214969,734.6832320149765,844.8921505937,632.9999519433069,603.4202574516609,630.2159209588431,753.6781993323207,547.9570064428007,474.31334333254694,452.3438965029254,538.9585852120545,454.2536873232021,444.5216357740329,335.5591644260417,299.6735639031644,282.3459740172246,260.988986614218,376.9270348393227,253.38971642049276,333.3495819013989,213.30880659785578,136.14952695714567,185.44965627087723,42.086849466566065,65.10205831284804,112.30968821294371,0.0,190.6504722122671,152.2543630836941,103.71766761090343,90.14464604864202,138.5764135080698,229.5255611353244,269.53753066875146,225.8892150384862,196.56439881599402,233.71574920772807,196.72650387622826,210.07184862623905,260.143991694749,254.03713693859882,262.9537769771788,215.9562339333647,88.00006541859307,78.96149341006108,163.30057784229652,221.11105808549178,203.4380868908395,296.2306670899905,129.61340485234948
Wanla Weyn,621.659449314205,610.0915900926208,642.7007068437614,675.5478532778968,537.2652879695452,595.2994733130892,578.6020115211514,505.1813125309134,480.79848574501403,508.7532031546764,567.3056334393902,529.4080283174724,533.7704202088926,632.4212798306451,567.5684011827627,659.2816401458025,603.4362633367309,724.0456817507052,791.418547225697,771.7267798622687,929.9737816434591,850.3672844923138,846.3133224224101,719.6785096053407,610.1265661288136,544.85922710652,654.2559629668322,443.58615561253,416.5602927610853,439.91683716439513,563.1199349556271,360.0596709635644,284.95246664094316,270.53789587192347,350.0927290666638,263.66728100215954,257.515933814977,159.78943454143536,111.22267559056233,91.97209510648254,75.24846218033908,191.4978195291427,86.9841201069564,152.70106451335909,75.51712376755,85.56209521020637,46.940583967924745,178.73700072440454,128.71331903509957,84.7096771006706,190.6504722122671,0.0,145.88406514885912,102.94383344565671,229.63828298639194,229.7815812737957,157.1227047243745,180.3155781601698,92.56902506849181,183.1145230881451,221.24152803144364,285.23607967797705,360.12880127804203,356.6766598711909,384.98027294888965,322.64578299743823,258.41127629883715,272.6392299390335,267.9762050423403,329.8017884507839,411.28219039178697,389.896860851253,486.66888435029455,316.92292038591955
