,time,Previous (Departure) Region,index,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,population_density_origin,conflicts,inv_distance,x,x_dist,Current (Arrival) Region,Displacements,Disp_log,inv_distance_2,population_density_destination,gdp_mean_destination,accessibility_to_cities_mean_destination,gdp_mean_origin,accessibility_to_cities_mean_origin
754,2022-09,Hiraan,1460,2022,9,0.08348331100725005,0.24068760895387722,0.08045977011494253,0.2863473941316335,0.3894268247007745,0.38601194409480316,0.39949518049095323,0.4207697944764035,0.6023409325489771,0.31378464257364475,0.3840957709853285,0.35916616896891473,0.34249570787363504,0.40702899967262063,0.2987933681938868,0.07514450867052022,0.06976744186046512,0.06432748538011696,0.05325443786982248,0.05325443786982249,0.047619047619047616,0.004462744917432207,0.9425287356321839,0.04091338778223122,0.028216498321052434,0.16307930735231002,Bari,0.0009581708848212515,0.25675832953036837,0.009717081964989339,0.006705830499320791,0.0004238742705172682,1.0,0.0007690392713638598,0.6339913238499721
767,2022-10,Banadir,1461,2022,10,0.15791451775600146,0.2220452586277346,0.27586206896551724,0.14376019639696921,0.31941801715866047,0.3991690935082227,0.38187256769067845,0.48254798586877234,0.5975927683070139,0.2852563499715323,0.2668324276559453,0.3253424237930045,0.3570854357162242,0.37699762452021435,0.3936259387844774,0.27167630057803466,0.26744186046511625,0.2631578947368421,0.25443786982248523,0.2544378698224852,0.25,0.9999999999999999,0.7126436781609196,0.01513424600960403,0.015348993816007146,0.10458663112037093,Bari,0.00128857463820789,0.28625456965645923,0.0032842631098075874,0.006705830499320791,0.0004238742705172682,1.0,0.9999999999999999,0.0
771,2022-10,Hiraan,1461,2022,10,0.07240358938007674,0.23136596517371671,0.08620689655172414,0.08453621807712211,0.3170396292722285,0.3718115658566335,0.3505783142190997,0.4399106124453126,0.5720522748495352,0.2917253505887378,0.27508181956391375,0.3397730906160178,0.37486873813190846,0.37745351558879137,0.40702899967262063,0.08092485549132948,0.0755813953488372,0.07017543859649122,0.05917159763313609,0.05917159763313609,0.05357142857142857,0.004462744917432207,0.45977011494252873,0.04091338778223122,0.013764145522464601,0.07955088163527319,Bari,0.0008590497588052599,0.24608068324967303,0.009717081964989339,0.006705830499320791,0.0004238742705172682,1.0,0.0007690392713638598,0.6339913238499721
773,2022-10,Lower Shabelle,1461,2022,10,0.27654288401345084,0.19768538486265363,0.28735632183908044,0.20783776191113798,0.4142152297537218,0.5226757341153713,0.5379655516016458,0.6719811425266142,0.6903654838155979,0.26488842592387757,0.25043099827437426,0.3846399152960813,0.44520803184622115,0.4539952971751392,0.4373992728359107,0.28323699421965315,0.27906976744186046,0.27485380116959063,0.26627218934911245,0.2662721893491124,0.26190476190476186,0.08516044411549209,0.735632183908046,0.0,0.012689696333027257,0.09661753995313048,Bari,9.912112601599153e-05,0.07518462962254095,0.0,0.006705830499320791,0.0004238742705172682,1.0,0.01008368285818618,0.29679991262701255
784,2022-11,Banadir,1462,2022,11,0.17312483700897546,0.22342031677171134,0.28160919540229884,0.16244595870779255,0.15916917808180187,0.29978297867775494,0.36449477085038867,0.4234740442617485,0.6102707447638727,0.2707085201347432,0.2395848437589582,0.2140710559437615,0.34187378767977494,0.39126754522431895,0.37699762452021435,0.2774566473988439,0.27325581395348836,0.26900584795321636,0.2603550295857988,0.2603550295857988,0.25595238095238093,0.9999999999999999,0.7471264367816092,0.01513424600960403,0.01609168706516878,0.1096472745616792,Bari,0.0022137051476904773,0.34166305489840126,0.0032842631098075874,0.006705830499320791,0.0004238742705172682,1.0,0.9999999999999999,0.0
788,2022-11,Hiraan,1462,2022,11,0.0861820558106943,0.22968190900407354,0.09195402298850575,0.07293868693474838,0.0935972590933603,0.2973359734331648,0.3355584233833364,0.3942859700091428,0.5838935534495255,0.28121640705679296,0.24763404465555094,0.2229141037215119,0.35595085496904966,0.4081053553081167,0.37745351558879137,0.08670520231213873,0.08139534883720931,0.07602339181286549,0.0650887573964497,0.0650887573964497,0.05952380952380952,0.004462744917432207,0.3333333333333333,0.04091338778223122,0.009979005503786838,0.057674389185573056,Bari,0.0008260093834665961,0.2422743806966638,0.009717081964989339,0.006705830499320791,0.0004238742705172682,1.0,0.0007690392713638598,0.6339913238499721
801,2022-12,Banadir,1463,2022,12,0.23511709043931805,0.26022881931136777,0.28735632183908044,0.1783671304806629,0.17985777967937427,0.13491090213484058,0.25937302195698286,0.4072658153298223,0.5737252323565889,0.27225871972710997,0.22148337617611122,0.18486263804855005,0.23332893997492316,0.37686466128790186,0.39126754522431895,0.28323699421965315,0.27906976744186046,0.27485380116959063,0.26627218934911245,0.2662721893491124,0.26190476190476186,0.9999999999999999,0.7011494252873564,0.01513424600960403,0.015101429399619934,0.10289974997326817,Bari,0.00042952487940262996,0.1815736999078274,0.0032842631098075874,0.006705830499320791,0.0004238742705172682,1.0,0.9999999999999999,0.0
805,2022-12,Hiraan,1463,2022,12,0.16380329266096988,0.2581122932506646,0.09770114942528735,0.08736108840838593,0.08075664294247246,0.06744720936298249,0.256784798528575,0.38027695428430863,0.5556683175693675,0.27931785229448053,0.23455805306040492,0.19349108835075057,0.24195530354747427,0.3901932872097441,0.4081053553081167,0.09248554913294797,0.0872093023255814,0.08187134502923976,0.07100591715976332,0.07100591715976332,0.06547619047619047,0.004462744917432207,0.27586206896551724,0.04091338778223122,0.008258487313478762,0.0477305289811639,Bari,0.001057292010837243,0.26647842527586035,0.009717081964989339,0.006705830499320791,0.0004238742705172682,1.0,0.0007690392713638598,0.6339913238499721
809,2022-12,Middle Shabelle,1463,2022,12,0.045006549447212524,0.2599305627804986,0.0,0.003375599244310634,0.0321733302379341,0.05643567900231656,0.14849319051681548,0.2705318792211839,0.4716974581185117,0.317892074444759,0.25663298797368483,0.2096272778229808,0.24671563577065378,0.29920397631410156,0.2951725084860791,0.0,0.0,0.08187134502923976,0.07100591715976332,0.07100591715976332,0.06547619047619047,0.02366321265883157,0.5862068965517241,0.03619558071620574,0.016587780723331128,0.09860969251805045,Bari,3.3040375338663845e-05,0.031204440662745483,0.008460824031058209,0.006705830499320791,0.0004238742705172682,1.0,0.004581847212329029,0.24147300018554926
919,2022-07,Bakool,1458,2022,7,0.4558740738669983,0.6488617686398988,0.08045977011494253,0.5279830812981043,0.6815824239868645,0.6382235354480241,0.6523189488780775,0.7601558039581628,0.7345456690135829,0.8963885826305464,0.8910309405612861,0.7770121944224301,0.21897910138778506,0.09851356178010343,0.5461445921076026,0.07514450867052022,0.06976744186046512,0.06432748538011696,0.05325443786982248,0.05325443786982249,0.047619047619047616,0.013277526312589721,0.12643678160919541,0.7430059777947416,0.0997761273080453,0.11231817492400152,Bay,0.0041961276680103085,0.40880930451346087,0.5911977789506685,0.012575922497497222,0.0018572484623464878,0.3517770896282185,0.0005430833508411896,0.4013044271783965
936,2022-08,Bakool,1459,2022,8,0.36335234996922827,0.21367190126583738,0.08620689655172414,0.47433062038468893,0.584575113261936,0.6723959607603291,0.6173451922630312,0.6757187275425126,0.7820100884466463,0.7518887398472753,0.9999999999999999,0.8831891356765019,0.7824761404097264,0.26050396855923336,0.09851356178010343,0.08092485549132948,0.0755813953488372,0.07017543859649122,0.05917159763313609,0.05917159763313609,0.05357142857142857,0.013277526312589721,0.12643678160919541,0.7430059777947416,0.0997761273080453,0.11231817492400152,Bay,0.026465340646269743,0.6064459282869489,0.5911977789506685,0.012575922497497222,0.0018572484623464878,0.3517770896282185,0.0005430833508411896,0.4013044271783965
1065,2022-03,Mudug,1454,2022,3,0.29662823259748883,0.2905803999160958,0.028735632183908046,0.40006706865293007,0.33061451128243946,0.11905536243639075,0.06260761455236596,0.0,0.4666595759346421,0.3475392966534769,0.289780806967632,0.1966087400486775,0.2970643315661129,0.34690762083258675,0.35026790036572725,0.023121387283236993,0.01744186046511628,0.011695906432748537,0.0,0.0,0.011904761904761904,0.008555625851924755,0.05747126436781609,0.5088792268819505,0.024266654057277445,0.03734481611479871,Galgaduud,0.009416506971519195,0.4950879666950413,0.31018606317490444,0.0047205688425934565,0.0,0.5822862351195599,0.000875724001110037,0.9083661216264067
1184,2022-10,Mudug,1461,2022,10,0.0,0.3068026306956606,0.0,0.05581109722606471,0.4021058698579605,0.35319651546877806,0.2506403534727191,0.2929353980846278,0.44871979320955846,0.36898905757206485,0.3382440153515351,0.22057334791567473,0.22706596533128937,0.2918313197762607,0.33615369342546875,0.06358381502890173,0.05813953488372093,0.05263157894736842,0.04142011834319526,0.04142011834319526,0.03571428571428571,0.008555625851924755,0.08045977011494253,0.5088792268819505,0.03397331568018843,0.05228274256071819,Galgaduud,0.007401044075860701,0.46927133065748916,0.31018606317490444,0.0047205688425934565,0.0,0.5822862351195599,0.000875724001110037,0.9083661216264067
1245,2022-02,Bay,1453,2022,2,0.6485311858054588,0.11201123853367365,0.25287356321839083,0.683711131145998,0.6943922401379804,0.6996798755297926,0.555318769896111,0.5962937075184376,0.6918937716684949,0.5061400148183828,0.48632913648332965,0.36453071310812785,0.21650792207065842,0.0,0.04764618252300698,0.24855491329479767,0.2441860465116279,0.23976608187134502,0.23076923076923075,0.23076923076923075,0.22619047619047616,0.012575922497497222,0.29885057471264365,0.5219922937072902,0.1314287642080505,0.19818567485403285,Gedo,0.0035022797858983673,0.38969861309310416,0.32362097161156045,0.009119184547300964,7.336890567557195e-05,0.4856230439121156,0.0020614012950123314,0.34916083247120594
1259,2022-03,Bakool,1454,2022,3,0.5899069611656054,0.24459109018415723,0.05747126436781609,0.6897643625189028,0.6881059631063369,0.5618527848143647,0.47232174861184273,0.41174324203982304,0.601293978977423,0.16463541908597515,0.5416064480447075,0.4832104914087376,0.42100903987309446,0.3278701870153453,0.03377396116267248,0.05202312138728323,0.046511627906976744,0.04093567251461988,0.02958579881656805,0.029585798816568046,0.023809523809523808,0.013277526312589721,0.08045977011494253,0.3445114312886697,0.01871890775305997,0.03880874920187483,Gedo,0.011068525738452389,0.5124521903381603,0.1649766250740075,0.009119184547300964,7.336890567557195e-05,0.4856230439121156,0.0005430833508411896,0.4013044271783965
1293,2022-05,Bakool,1456,2022,5,0.5908352847267656,0.6993539081216302,0.06896551724137931,0.5856004701609241,0.6805065624342197,0.7568795432225744,0.660588813929795,0.5677572016476808,0.6259147870283668,0.7292081271155273,0.2531096763105157,0.02397662657050534,0.5206592822120824,0.5226766631905854,0.4517924961870803,0.06358381502890173,0.05813953488372093,0.05263157894736842,0.04142011834319526,0.04142011834319526,0.03571428571428571,0.013277526312589721,0.16091954022988506,0.3445114312886697,0.03743781550611994,0.07761749840374967,Gedo,0.005517742681556862,0.4379074946797886,0.1649766250740075,0.009119184547300964,7.336890567557195e-05,0.4856230439121156,0.0005430833508411896,0.4013044271783965
