admin1,Awdal,Bakool,Banadir,Bari,Bay,Galgaduud,Gedo,Hiraan,Lower_Juba,Lower_Shabelle,Middle_Juba,Middle_Shabelle,Mudug,Nugaal,Sanaag,Sool,Togdheer,Woqooyi_Galbeed,yr_mth
Bari,0.0,0.0,0.008928571428571428,0.0326530612244898,0.0,0.0,0.0,0.013265306122448979,0.0,0.0028061224489795917,0.0,0.0,0.0,0.006122448979591836,0.01607142857142857,0.0012755102040816326,0.0,0.0,2016-03
Bay,0.0,0.006122448979591836,0.0,0.0,0.03188775510204082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03
Galgaduud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03
Gedo,0.0,0.004846938775510204,0.0,0.0,0.022448979591836733,0.0,0.009693877551020408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03
Hiraan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03
Lower_Juba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041581632653061223,0.0,0.0017857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03
Lower_Shabelle,0.0,0.0,0.3520408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.19744897959183674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03
Middle_Juba,0.0,0.0,0.0,0.0,0.045408163265306126,0.0,0.036989795918367346,0.0,0.00586734693877551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03
Middle_Shabelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1683673469387755,0.0,0.0,0.0,0.0,0.0,0.0,2016-03
Mudug,0.0,0.0,0.017091836734693878,0.010714285714285714,0.0007653061224489796,0.003826530612244898,0.0,0.014540816326530611,0.0,0.0007653061224489796,0.0,0.0017857142857142857,0.31020408163265306,0.0,0.0,0.0,0.0,0.0012755102040816326,2016-03
Nugaal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03
Sanaag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03
Sool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058673469387755105,0.0,0.0,2016-03
Togdheer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03
Woqooyi_Galbeed,0.02346938775510204,0.0033163265306122448,0.01173469387755102,0.004336734693877551,0.0,0.004591836734693878,0.0,0.002551020408163265,0.0,0.0012755102040816326,0.0,0.004591836734693878,0.007142857142857143,0.00510204081632653,0.007908163265306122,0.00510204081632653,0.016581632653061226,0.03086734693877551,2016-03
Awdal,0.006075768406004289,0.0,0.002144388849177984,0.0,0.0005003573981415296,0.0012151536812008577,0.0,0.0012866333095067906,0.0,0.0,0.0005003573981415296,0.0,0.0,0.00035739814152966406,0.0,0.0,0.0,0.0,2016-04
Bakool,0.0,0.0631879914224446,0.0,0.0,0.0,0.0,0.0,0.0026447462473195137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-04
Banadir,0.0,0.0,0.04703359542530379,0.0,0.008791994281629736,0.0,0.0,0.0017869907076483202,0.0,1.0,0.0,0.0,0.00042887776983559683,0.0,0.0,0.0,0.0,0.0,2016-04
Bari,0.0,0.0,0.004288777698355968,0.006433166547533953,0.0,0.0,0.0,0.0011436740528949249,0.0,0.00035739814152966406,0.0,0.0011436740528949249,0.0,0.0,0.001858470335954253,0.0,0.0,0.0,2016-04
Bay,0.0,0.0022873481057898498,0.003716940671908506,0.0,0.005218012866333095,0.0,0.006504646175839885,0.0,0.0,0.0,0.0014295925661186562,0.00035739814152966406,0.00021443888491779842,0.0012151536812008577,0.0,0.0,0.0,0.0,2016-04
Galgaduud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-04
Gedo,0.0,0.0,0.0,0.0,0.0,0.0,0.019013581129378128,0.0,0.0,0.0,0.0007862759113652609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-04
Hiraan,0.0,0.002358827734095783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-04
Lower_Juba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016368834882058612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-04
Lower_Shabelle,0.0,0.0,0.007147962830593281,0.0,0.0,0.0,0.0,0.0,0.0,0.1213724088634739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-04
Middle_Juba,0.0,0.0,0.0,0.0,0.011794138670478913,0.0,0.008934953538241601,0.0,0.0,0.0,0.02501786990707648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-04
Middle_Shabelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-04
Mudug,0.0,0.0,0.0008577555396711937,0.03438170121515368,0.0,0.004431736954967834,0.0,0.0009292351679771265,0.0,0.00042887776983559683,0.0,0.0,0.0032165832737669764,0.0,0.0,0.0,0.0,0.0,2016-04
Nugaal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-04
Sanaag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-04
Sool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002215868477483917,0.017583988563259472,0.0009292351679771265,0.0,2016-04
Togdheer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-04
Woqooyi_Galbeed,0.00035739814152966406,0.0,0.0032165832737669764,0.0017155110793423873,0.0017869907076483202,0.0020014295925661185,0.0002859185132237312,0.001858470335954253,0.00042887776983559683,0.0,0.0,0.0006433166547533953,0.0016440314510364545,0.0008577555396711937,0.0027162258756254468,0.0002859185132237312,0.0025017869907076485,0.0,2016-04
Awdal,0.0009990917347865577,0.0,0.0032697547683923707,0.0007266121707538601,0.0005449591280653951,0.0018165304268846503,0.0,0.0007266121707538601,0.0,0.0,0.0,0.0,0.0,0.0014532243415077202,0.0,0.0,0.0,0.0,2016-05
Bakool,0.0,0.06712079927338784,0.0,0.0,0.0,0.0,0.0,0.01662125340599455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05
Banadir,0.0,0.0,0.011625794732061762,0.0,0.0050862851952770205,0.0,0.0019981834695731154,0.004268846503178928,0.0,0.2495004541326067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05
Bari,0.0,0.0,0.0034514078110808354,0.0014532243415077202,0.0,0.0,0.0006357856494096276,0.00027247956403269756,0.0,0.0014532243415077202,0.0,0.0030881017257039056,0.0005449591280653951,0.0007266121707538601,0.0,0.00045413260672116256,0.0,0.00036330608537693006,2016-05
