time,admin1,spei
1902-03-16,Bay,0.26069883
1902-03-16,Galgaduud,0.43676203
1902-03-16,Gedo,0.24608852
1902-03-16,Hiraan,0.5023827
1902-03-16,Lower Juba,-1.0176017
1902-03-16,Lower Shabelle,0.13740431
1902-03-16,Middle Juba,-0.7465588
1902-03-16,Middle Shabelle,0.5090033
1902-03-16,Mudug,0.457076
1902-03-16,Nugaal,0.51320684
1902-03-16,Sanaag,0.41130576
1902-03-16,Sool,0.3454944
1902-03-16,Togdheer,0.44877744
1902-03-16,Woqooyi Galbeed,-0.1067618
1902-04-16,Awdal,-0.47798544
1902-04-16,Bakool,0.41284525
1902-04-16,Bari,0.27030858
1902-04-16,Bay,-0.2935678
1902-04-16,Galgaduud,0.41777012
1902-04-16,Gedo,-0.011169382
1902-04-16,Hiraan,0.37726957
1902-04-16,Lower Juba,-1.7566309
1902-04-16,Lower Shabelle,-0.4916048
1902-04-16,Middle Juba,-1.6521633
1902-04-16,Middle Shabelle,0.29090944
1902-04-16,Mudug,0.41075838
1902-04-16,Nugaal,0.4054944
1902-04-16,Sanaag,0.5848059
1902-04-16,Sool,0.5712383
1902-04-16,Togdheer,0.39340112
1902-04-16,Woqooyi Galbeed,-0.21352026
1902-05-16,Awdal,0.047147572
1902-05-16,Bakool,0.5940856
1902-05-16,Bari,0.23053987
1902-05-16,Bay,1.2159231
1902-05-16,Galgaduud,0.4868366
1902-05-16,Gedo,1.0842221
1902-05-16,Hiraan,0.4780798
1902-05-16,Lower Juba,2.0092015
1902-05-16,Lower Shabelle,1.2157289
1902-05-16,Middle Juba,2.075375
1902-05-16,Middle Shabelle,0.39279127
1902-05-16,Mudug,0.3096345
1902-05-16,Nugaal,0.35923454
1902-05-16,Sanaag,0.61919075
1902-05-16,Sool,0.55169743
1902-05-16,Togdheer,0.3852783
1902-05-16,Woqooyi Galbeed,-0.09419513
1902-06-16,Awdal,-1.5881515
1902-06-16,Bakool,0.15700184
1902-06-16,Bari,0.22087683
1902-06-16,Bay,0.5558515
1902-06-16,Galgaduud,0.36480135
1902-06-16,Gedo,-0.18595198
1902-06-16,Hiraan,0.43333834
1902-06-16,Lower Juba,0.83487904
1902-06-16,Lower Shabelle,0.61958665
1902-06-16,Middle Juba,0.8753443
1902-06-16,Middle Shabelle,0.49423298
1902-06-16,Mudug,0.49640542
1902-06-16,Nugaal,0.34871107
1902-06-16,Sanaag,0.13676068
1902-06-16,Sool,0.31377193
1902-06-16,Togdheer,-0.3431695
1902-06-16,Woqooyi Galbeed,-1.3090086
1902-07-16,Awdal,-2.9556231
1902-07-16,Bakool,-1.1092094
1902-07-16,Bari,-0.08979028
1902-07-16,Bay,-0.6883106
1902-07-16,Galgaduud,-0.6421534
1902-07-16,Gedo,-1.42838
1902-07-16,Hiraan,-0.7525294
1902-07-16,Lower Juba,-1.4942182
1902-07-16,Lower Shabelle,-0.62906677
1902-07-16,Middle Juba,-2.052283
1902-07-16,Middle Shabelle,0.3649277
1902-07-16,Mudug,-0.31748953
1902-07-16,Nugaal,-0.09799291
1902-07-16,Sanaag,-0.88281894
1902-07-16,Sool,-0.8795991
1902-07-16,Togdheer,-1.6049435
1902-07-16,Woqooyi Galbeed,-2.416649
1902-08-16,Awdal,-4.037195
1902-08-16,Bakool,-1.4993436
1902-08-16,Bari,0.05661899
1902-08-16,Bay,-0.7275931
1902-08-16,Galgaduud,-0.6873596
1902-08-16,Gedo,-1.6723645
1902-08-16,Hiraan,-0.79723644
1902-08-16,Lower Juba,-1.1593539
1902-08-16,Lower Shabelle,-0.42704445
1902-08-16,Middle Juba,-1.3401403
1902-08-16,Middle Shabelle,0.10608666
1902-08-16,Mudug,-0.25761193
1902-08-16,Nugaal,-0.3094729
1902-08-16,Sanaag,-0.7550241
1902-08-16,Sool,-0.8585755
1902-08-16,Togdheer,-2.186892
1902-08-16,Woqooyi Galbeed,-3.1247635
1902-09-16,Awdal,-3.2365067
1902-09-16,Bakool,0.017195994
1902-09-16,Bari,0.17491166
1902-09-16,Bay,-0.07635255
1902-09-16,Galgaduud,0.13694936
1902-09-16,Gedo,-0.58397514
1902-09-16,Hiraan,0.10696823
1902-09-16,Lower Juba,0.07809565
1902-09-16,Lower Shabelle,0.1792978
1902-09-16,Middle Juba,-0.15990165
1902-09-16,Middle Shabelle,0.30166107
1902-09-16,Mudug,0.20819798
1902-09-16,Nugaal,0.50087756
1902-09-16,Sanaag,-0.42388478
1902-09-16,Sool,0.042320162
1902-09-16,Togdheer,-0.59243876
1902-09-16,Woqooyi Galbeed,-2.3591115
1902-10-16,Awdal,-0.37895235
1902-10-16,Bakool,0.2910023
1902-10-16,Bari,0.23152064
1902-10-16,Bay,0.496712
1902-10-16,Galgaduud,0.28795528
1902-10-16,Gedo,0.31503767
1902-10-16,Hiraan,0.38356254
1902-10-16,Lower Juba,0.91337794
1902-10-16,Lower Shabelle,0.6190659
1902-10-16,Middle Juba,0.8371066
1902-10-16,Middle Shabelle,0.45909834
1902-10-16,Mudug,0.16593786
1902-10-16,Nugaal,0.0655107
1902-10-16,Sanaag,0.24444821
1902-10-16,Sool,0.20393181
1902-10-16,Togdheer,0.11982082
1902-10-16,Woqooyi Galbeed,-0.08730775
1902-11-16,Awdal,1.7206564
1902-11-16,Bakool,0.5360615
1902-11-16,Bari,0.39812127
1902-11-16,Bay,1.3307623
1902-11-16,Galgaduud,0.47922873
1902-11-16,Gedo,1.0422086
1902-11-16,Hiraan,0.5285166
1902-11-16,Lower Juba,2.243391
1902-11-16,Lower Shabelle,1.431608
1902-11-16,Middle Juba,2.341066
1902-11-16,Middle Shabelle,0.53981173
1902-11-16,Mudug,0.34636632
1902-11-16,Nugaal,0.502546
1902-11-16,Sanaag,0.22654302
1902-11-16,Sool,0.46171033
1902-11-16,Togdheer,0.7072218
1902-11-16,Woqooyi Galbeed,1.4083103
1902-12-16,Awdal,-0.14630558
1902-12-16,Bakool,0.30736828
