Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+population_type,,,,#affected+f+infants+age_0_4,#affected+f+children+age_5_11,#affected+f+adolescents+age_12_17,#affected+f+adults+age_18_59,#affected+f+elderly+age_60,#affected+f+unknown_age,#affected+f+total,#affected+m+infants+age_0_4,#affected+m+children+age_5_11,#affected+m+adolescents+age_12_17,#affected+m+adults+age_18_59,#affected+m+elderly+age_60,#affected+m+unknown_age,#affected+m+total,#affected+all+total
2017,ERI,BRA,Eritrea,Brazil,ASY,Dispersed in the country / territory,U,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
2017,ERI,BRA,Eritrea,Brazil,REF,Dispersed in the country / territory,U,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2017,ERI,BGR,Eritrea,Bulgaria,ASY,Dispersed in the country / territory,U,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2017,ERI,BGR,Eritrea,Bulgaria,REF,Dispersed in the country / territory,U,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2017,ERI,CAN,Eritrea,Canada,ASY,Dispersed in the country / territory,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865
2017,ERI,CAN,Eritrea,Canada,REF,Dispersed in the country / territory,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
2017,ERI,TCD,Eritrea,Chad,ASY,N'Djamena : Region,U,I,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6
2017,ERI,TCD,Eritrea,Chad,REF,N'Djamena : Region,U,I,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6
2017,ERI,CHN,Eritrea,China,ASY,Unknown,V,U,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2017,ERI,COD,Eritrea,Democratic Republic of the Congo,REF,Kinshasa : Province,U,I,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5
2017,ERI,COL,Eritrea,Colombia,REF,Bogota : Capital district,U,I,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2017,ERI,CRI,Eritrea,Costa Rica,ASY,Dispersed in the country / territory,U,I,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
2017,ERI,CUB,Eritrea,Cuba,REF,La Habana : Provincia,U,I,0,0,0,5,0,0,5,0,0,0,15,0,0,15,20
2017,ERI,CYP,Eritrea,Cyprus,REF,Dispersed in the country / territory,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
2017,ERI,CZE,Eritrea,Czechia,REF,Dispersed in the country / territory,U,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2017,ERI,DNK,Eritrea,Denmark,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
2017,ERI,DNK,Eritrea,Denmark,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4006
