time,admin1,conflicts,TA,PA,DL
2003-06-16,Awdal,0.0,0.9802682076144649,0.13982822970527106,4
2003-07-16,Awdal,0.0,0.9081468013584028,0.0870725816164627,5
2003-08-16,Awdal,0.0,0.6647595638938265,0.12262694700454262,6
2003-09-16,Awdal,0.0,0.03809796337700644,0.04185014980393051,7
2003-10-16,Awdal,0.0,-0.577314904383393,-0.6528711090469937,0
2003-11-16,Awdal,0.0,-1.0231542013694686,-0.6338720393114801,0
2003-12-16,Awdal,0.0,-0.985238080883096,-0.2053252191146954,0
2004-01-16,Awdal,0.0,-0.8441787167376754,0.5342996175463364,0
2004-02-15,Awdal,0.0,-0.1325203624287398,0.6808848581016416,0
2004-03-16,Awdal,0.0,0.5753982592910394,0.4035124030417638,1
2004-04-16,Awdal,0.0,0.9841206337493681,0.42056233647446356,2
