time,admin1,conflicts,TA,PA,DL
2004-09-16,Nugaal,0.0,-0.0182057796348028,0.0448186651151492,0
2004-10-16,Nugaal,0.0,-0.0129487592638995,0.6570161280236516,0
2004-11-16,Nugaal,1.0,-0.1972527508315054,0.6752074505014636,0
2004-12-16,Nugaal,1.0,-0.9385668561132016,0.0036774154163387,0
2005-01-16,Nugaal,0.0,-0.7559480332366727,-0.6054083154308915,0
2005-02-15,Nugaal,4.0,-0.0860678531581515,-0.8324358821158606,0
2005-03-16,Nugaal,0.0,0.6060908991925182,-0.1574710429995369,1
2005-04-16,Nugaal,1.0,1.033702692976872,0.4481906813318841,2
2005-05-16,Nugaal,4.0,0.8584925559531008,1.0716524075395446,3
2005-06-16,Nugaal,2.0,0.1428414107305207,0.344625199743555,4
2005-07-16,Nugaal,0.0,-0.374903726585687,-0.2641482566491383,0
2005-08-16,Nugaal,0.0,-0.1924019544036183,-0.6787737386496419,0
2005-09-16,Nugaal,0.0,0.5576252550011981,0.0448186651151492,1
2005-10-16,Nugaal,2.0,0.6386567833465371,0.6570161280236516,2
2005-11-16,Nugaal,0.0,-0.0953281589286576,0.6752074505014636,0
2005-12-16,Nugaal,2.0,-0.8140288660029377,0.0036774154163387,0
2006-01-16,Nugaal,2.0,-0.8201680579968835,-0.6054083154308915,0
2006-02-15,Nugaal,3.0,-0.093187471325101,-0.8324358821158606,0
2006-03-16,Nugaal,4.0,0.5442004260142929,-0.1574710429995369,1
2006-04-16,Nugaal,4.0,1.011081098102939,0.4481906813318841,2
2006-05-16,Nugaal,2.0,0.9419487065226898,1.0716524075395446,3
2006-06-16,Nugaal,2.0,0.3837074995109921,0.344625199743555,4
2006-07-16,Nugaal,0.0,-0.3061039015252885,-0.2641482566491383,0
2006-08-16,Nugaal,1.0,-0.8651169947959024,-0.6787737386496419,0
2006-09-16,Nugaal,2.0,-0.210342150341492,0.0448186651151492,0
2006-10-16,Nugaal,8.0,0.1503205830735932,0.6570161280236516,1
2006-11-16,Nugaal,4.0,0.0398480556113218,0.6752074505014636,2
2006-12-16,Nugaal,0.0,-0.6912859746165031,0.0036774154163387,0
2007-01-16,Nugaal,0.0,-0.8151538282142464,-0.6054083154308915,0
2007-02-15,Nugaal,6.0,-0.0786839772421372,-0.8324358821158606,0
2007-03-16,Nugaal,0.0,0.5962289160472344,-0.1574710429995369,1
2007-04-16,Nugaal,6.0,0.992157748375862,0.4481906813318841,2
2007-05-16,Nugaal,0.0,0.9482115850150404,1.0716524075395446,3
2007-06-16,Nugaal,2.0,0.2750679646791325,0.344625199743555,4
2007-07-16,Nugaal,1.0,-0.342554208370919,-0.2641482566491383,0
2007-08-16,Nugaal,0.0,-0.7394686852296811,-0.6787737386496419,0
2007-09-16,Nugaal,2.0,-0.0177441351577388,0.0448186651151492,0
2007-10-16,Nugaal,2.0,0.2443839614820459,0.6570161280236516,1
2007-11-16,Nugaal,2.0,-0.0377963152228038,0.6752074505014636,0
2007-12-16,Nugaal,2.0,-0.7601745351681485,0.0036774154163387,0
2008-01-16,Nugaal,0.0,-0.7792556292381584,-0.6054083154308915,0
2008-02-15,Nugaal,4.0,-0.1133464683936427,-0.8324358821158606,0
2008-03-16,Nugaal,6.0,0.5894843951473772,-0.1574710429995369,1
2008-04-16,Nugaal,2.0,1.0514920451718004,0.4481906813318841,2
2008-05-16,Nugaal,3.0,0.9515737543327372,1.0716524075395446,3
2008-06-16,Nugaal,0.0,0.2187150447411832,0.344625199743555,4
2008-07-16,Nugaal,0.0,-0.4317806253520833,-0.2641482566491383,0
2008-08-16,Nugaal,6.0,-0.6842458416213152,-0.6787737386496419,0
2008-09-16,Nugaal,2.0,0.0772736902249302,0.0448186651151492,1
2008-10-16,Nugaal,0.0,0.2394941166585708,0.6570161280236516,2
2008-11-16,Nugaal,3.0,-0.0792384192438304,0.6752074505014636,0
2008-12-16,Nugaal,1.0,-0.7820323797206825,0.0036774154163387,0
2009-01-16,Nugaal,0.0,-0.7539641540543474,-0.6054083154308915,0
2009-02-15,Nugaal,6.0,-0.0260257003118117,-0.8324358821158606,0
2009-03-16,Nugaal,2.0,0.6251468095711328,-0.1574710429995369,1
