time,region,PRECTOTCORR,T2M_MAX
199805.0,Galgaduud,0.45529413,37.584705
199805.0,Gedo,3.5342858,35.5
199805.0,Hiraan,0.83727264,37.06818
199805.0,Lower Juba,2.8947058,33.11588
199805.0,Lower Shabelle,2.858,34.336
199805.0,Middle Juba,4.06,34.370003
199805.0,Middle Shabelle,0.29000002,35.016
199805.0,Mudug,0.21294118,37.981766
199805.0,Nugaal,0.23099999,37.863
199805.0,Sanaag,0.34444442,36.933334
199805.0,Sool,0.84583336,36.953335
199805.0,Togdheer,1.698,36.209
199805.0,Woqooyi Galbeed,1.25,38.002003
199806.0,Awdal,0.13,41.112503
199806.0,Bakool,0.09375,34.985
199806.0,Bari,0.016666666,39.295002
199806.0,Bay,0.16285715,34.627144
199806.0,Galgaduud,0.019411763,37.632355
199806.0,Gedo,0.32999998,35.214996
199806.0,Hiraan,0.02090909,37.48182
199806.0,Lower Juba,0.85529417,33.582943
199806.0,Lower Shabelle,0.038999997,34.532997
199806.0,Middle Juba,0.23400001,34.894
199806.0,Middle Shabelle,0.0,34.764
199806.0,Mudug,0.011176472,38.431175
199806.0,Nugaal,0.015000001,38.971
199806.0,Sanaag,0.04777778,37.553886
199806.0,Sool,0.14583333,38.483334
199806.0,Togdheer,0.221,37.312
199806.0,Woqooyi Galbeed,0.127,38.507
199807.0,Awdal,0.54249996,39.685
199807.0,Bakool,0.11,33.86875
199807.0,Bari,0.28916666,36.297916
199807.0,Bay,0.23285714,33.951427
199807.0,Galgaduud,0.21647058,34.39
199807.0,Gedo,0.20285715,33.79286
199807.0,Hiraan,0.18272728,35.121815
199807.0,Lower Juba,0.6588235,32.184116
199807.0,Lower Shabelle,0.253,32.912
199807.0,Middle Juba,0.282,33.503998
199807.0,Middle Shabelle,0.304,31.788
199807.0,Mudug,0.17470588,34.785297
199807.0,Nugaal,0.117,34.294
199807.0,Sanaag,0.3466667,34.79111
199807.0,Sool,0.19500001,33.975834
199807.0,Togdheer,0.19200002,33.671
