index,time,admin1,conflicts,TA,PA,DL
128,2007-09-16,Galgaduud,2.0,-1.0632795405647482,,0
129,2007-10-16,Galgaduud,4.0,-0.30188220674758887,,0
130,2007-11-16,Galgaduud,4.0,-0.21933871929816137,0.23349883746886105,0
131,2007-12-16,Galgaduud,0.0,-0.4086931894329444,-0.010696851426248164,0
132,2008-01-16,Galgaduud,4.0,-0.4749578146655617,0.010040851715318507,0
133,2008-02-15,Galgaduud,0.0,-1.0189750758773017,0.24318526722748612,0
134,2008-03-16,Galgaduud,10.0,-1.6936103114264054,0.22820814845630877,0
135,2008-04-16,Galgaduud,8.0,-1.732497506574125,0.15034960844319714,0
136,2008-05-16,Galgaduud,12.0,-1.142065979967005,-0.028535882028375936,0
137,2008-06-16,Galgaduud,16.0,-0.4041161714291146,0.2306369256379106,0
138,2008-07-16,Galgaduud,2.0,-0.3879944979034668,0.3473493211126444,0
139,2008-08-16,Galgaduud,0.0,-0.15053055358809975,,0
140,2008-09-16,Galgaduud,4.0,0.39752500218688613,,1
141,2008-10-16,Galgaduud,12.0,0.7627989780643727,,2
142,2008-11-16,Galgaduud,12.0,0.14521451678693698,0.23349883746886105,3
143,2008-12-16,Galgaduud,16.0,-0.3161995159098179,-0.010696851426248164,0
144,2009-01-16,Galgaduud,10.0,-0.7543157640563315,0.010040851715318507,0
145,2009-02-15,Galgaduud,6.0,-0.146023297393059,0.24318526722748612,0
146,2009-03-16,Galgaduud,0.0,0.2496766841796334,0.22820814845630877,1
147,2009-04-16,Galgaduud,4.0,0.8564757402956339,0.15034960844319714,2
148,2009-05-16,Galgaduud,0.0,0.9923057454205044,-0.028535882028375936,3
149,2009-06-16,Galgaduud,0.0,1.1499390760690222,0.2306369256379106,4
150,2009-07-16,Galgaduud,4.0,0.52998393991474,0.3473493211126444,5
151,2009-08-16,Galgaduud,4.0,0.8257634638336313,,6
152,2009-09-16,Galgaduud,0.0,1.1558645628905067,,7
153,2009-10-16,Galgaduud,4.0,1.3816347365920718,,8
154,2009-11-16,Galgaduud,0.0,1.134288988549697,0.23349883746886105,9
155,2009-12-16,Galgaduud,0.0,1.1914712058260868,-0.010696851426248164,10
0,1997-01-16,Gedo,0.0,,,0
